raman_shift, int
cm^-1, a.u.
850.38,82.273
850.86,81.909
851.33,78.273
851.81,83.909
852.28,86.636
852.76,86.273
853.23,85.727
853.7,81.546
854.18,85
854.65,83.546
855.13,89.182
855.6,88.636
856.08,88.091
856.55,83.909
857.02,84.818
857.5,86.273
857.97,82.636
858.45,88.818
858.92,85
859.39,88.091
859.87,86.273
860.34,85.546
860.82,88.091
861.29,89.909
861.76,88.273
862.24,87
862.71,85.909
863.18,85.182
863.66,88.091
864.13,82.636
864.6,92.273
865.08,89.545
865.55,85.364
866.02,83.182
866.5,85.909
866.97,87.909
867.45,84.455
867.92,82.818
868.39,81.727
868.87,83
869.34,84.636
869.81,81.546
870.28,86.818
870.76,84.454
871.23,82.091
871.7,79
872.18,81.182
872.65,80.455
873.12,81.182
873.59,81.546
874.07,81.364
874.54,82.818
875.01,80.091
875.49,81.182
875.96,75.727
876.43,79.546
876.9,79.909
877.38,77.909
877.85,71.182
878.32,80.636
878.79,78.273
879.27,75.364
879.74,77.182
880.21,76.636
880.68,76.091
881.15,77.182
881.63,73
882.1,75.364
882.57,76.273
883.04,72.091
883.52,75.546
883.99,74.636
884.46,73.546
884.93,71.909
885.4,76.636
885.88,72.273
886.35,74.454
886.82,72.273
887.29,75.727
887.76,69
888.24,70.091
888.71,75.364
889.18,68.091
889.65,73.545
890.12,69.364
890.59,68.636
891.07,70.636
891.54,72.091
892.01,68.273
892.48,72.818
892.95,71
893.42,73.182
893.89,71.727
894.37,73
894.84,77.182
895.31,70.636
895.78,77
896.25,72.818
896.72,71.727
897.19,72.454
897.66,72.636
898.13,68.818
898.61,72.454
899.08,73
899.55,71.182
900.02,67.364
900.49,71.546
900.96,73.546
901.43,69
901.9,70.454
902.37,73
902.84,69.546
903.31,72.454
903.78,71.546
904.26,75
904.73,71.364
905.2,69.364
905.67,75.364
906.14,71.364
906.61,72.455
907.08,65.909
907.55,74.454
908.02,74.091
908.49,72.091
908.96,72.454
909.43,69.909
909.9,68.818
910.37,72.273
910.84,68.273
911.31,74.818
911.78,70.091
912.25,72.091
912.72,72.818
913.19,68.818
913.66,70.273
914.13,72.636
914.6,69
915.07,69.182
915.54,71.727
916.01,69.909
916.48,69.364
916.95,70.454
917.42,71.364
917.89,63.545
918.36,71
918.83,70.273
919.29,70.636
919.76,71.545
920.23,69.364
920.7,68.636
921.17,70.636
921.64,72.818
922.11,70.273
922.58,70.818
923.05,68.818
923.52,66.273
923.99,70.818
924.46,68.818
924.92,68.273
925.39,70.454
925.86,73
926.33,70.455
926.8,69.364
927.27,75.182
927.74,68.273
928.21,65.727
928.68,71.182
929.14,67
929.61,69
930.08,70.091
930.55,68.091
931.02,67
931.49,67.545
931.96,70.454
932.42,65.364
932.89,69.546
933.36,68.636
933.83,68.636
934.3,69
934.77,62.455
935.23,68.636
935.7,69.546
936.17,65.727
936.64,69.545
937.11,67.182
937.58,67
938.04,66.273
938.51,67.909
938.98,64.636
939.45,67.364
939.91,65.364
940.38,67.727
940.85,65
941.32,65.546
941.79,65
942.25,60.091
942.72,68.636
943.19,67.909
943.66,64.818
944.12,63.364
944.59,65.727
945.06,65.909
945.53,66.636
946,65.364
946.46,63.364
946.93,64.454
947.4,65.182
947.86,65.364
948.33,63.545
948.8,65.182
949.26,66.454
949.73,62.455
950.2,60.455
950.67,62.636
951.13,66.273
951.6,62.636
952.07,68.091
952.53,66.091
953,62.818
953.47,62.273
953.93,65.182
954.4,63.364
954.87,63.182
955.33,63
955.8,61
956.27,65.364
956.74,65.182
957.2,60.818
957.67,62.818
958.13,63
958.6,64.091
959.07,63.727
959.53,63
960,61
960.47,65.182
960.93,62.091
961.4,64.636
961.87,63.182
962.33,61.909
962.8,63
963.26,64.455
963.73,58.455
964.2,63.182
964.66,58.455
965.13,63.545
965.59,61.364
966.06,65.364
966.52,61.545
966.99,59.364
967.46,61.727
967.92,58.636
968.39,60.273
968.86,57
969.32,58.273
969.78,61.545
970.25,65.364
970.72,60.273
971.18,62.455
971.65,57
972.11,60.091
972.58,60.273
973.04,59.727
973.51,61
973.98,59.182
974.44,60.273
974.9,57.909
975.37,62.091
975.84,58.636
976.3,60.636
976.77,61.182
977.23,60.273
977.7,57.545
978.16,62.091
978.63,59.727
979.09,57.364
979.56,59.909
980.02,58.273
980.49,57.364
980.95,57.182
981.41,58.818
981.88,59.909
982.35,61.364
982.81,59.545
983.27,65.182
983.74,60.091
984.2,57.182
984.67,59.727
985.13,61.364
985.6,62.455
986.06,62.455
986.52,61.545
986.99,59.182
987.45,60.091
987.92,56.636
988.38,59.909
988.85,59
989.31,63.364
989.78,60.818
990.24,61.909
990.7,59.364
991.17,57
991.63,60.636
992.1,61.727
992.56,58.273
993.02,55.909
993.49,54.273
993.95,59.909
994.41,56.818
994.88,56.273
995.34,59.182
995.8,61.727
996.27,59.182
996.73,55.364
997.2,54.636
997.66,58.455
998.12,57.909
998.59,59.364
999.05,60.273
999.51,54.091
999.98,57
1000.4,59.364
1000.9,58.636
1001.4,62.091
