raman_shift, int
cm^-1, a.u.
850.38,84.091
850.86,82.636
851.33,82.091
851.81,83.909
852.28,81.364
852.76,78.273
853.23,86.636
853.7,82.818
854.18,83.909
854.65,81.727
855.13,83
855.6,87.182
856.08,83.909
856.55,86.091
857.02,85.182
857.5,83.909
857.97,85.909
858.45,84.091
858.92,88.636
859.39,82.455
859.87,86.273
860.34,87
860.82,82.636
861.29,84.273
861.76,85.182
862.24,85
862.71,86.818
863.18,83.909
863.66,87.364
864.13,85.546
864.6,86.636
865.08,84.273
865.55,83.182
866.02,87.727
866.5,84.091
866.97,84.091
867.45,85.727
867.92,86.636
868.39,82.273
868.87,84.091
869.34,83.727
869.81,81.909
870.28,85.909
870.76,84.636
871.23,81.182
871.7,87.909
872.18,84.636
872.65,85.364
873.12,80.273
873.59,82.636
874.07,84.818
874.54,84.091
875.01,83.182
875.49,83
875.96,82.818
876.43,83.727
876.9,79.909
877.38,81.909
877.85,80.091
878.32,79.909
878.79,81.909
879.27,77.182
879.74,74.818
880.21,81.182
880.68,81.364
881.15,79
881.63,77
882.1,74.455
882.57,77
883.04,77
883.52,76.636
883.99,76.454
884.46,73.182
884.93,78.455
885.4,73.727
885.88,73.182
886.35,75
886.82,76.273
887.29,76.636
887.76,73.182
888.24,74.273
888.71,75.546
889.18,76.636
889.65,73.545
890.12,72.273
890.59,72.454
891.07,76.273
891.54,71.727
892.01,76.636
892.48,73.909
892.95,74.273
893.42,74.636
893.89,77.182
894.37,73
894.84,73
895.31,73.364
895.78,75
896.25,76.818
896.72,71.545
897.19,76.818
897.66,73.546
898.13,75
898.61,73.545
899.08,74.273
899.55,71.909
900.02,69.909
900.49,73.909
900.96,74.636
901.43,76.818
901.9,69
902.37,72.818
902.84,74.636
903.31,75.545
903.78,74.091
904.26,70.091
904.73,75
905.2,70.454
905.67,76.273
906.14,77.546
906.61,77.727
907.08,77.182
907.55,73
908.02,74.273
908.49,74.818
908.96,76.273
909.43,80.273
909.9,73.727
910.37,73.909
910.84,74.273
911.31,74.091
911.78,75.182
912.25,72.091
912.72,76.454
913.19,75.364
913.66,73.182
914.13,73.546
914.6,77.546
915.07,75.182
915.54,73
916.01,74.636
916.48,73.182
916.95,73.364
917.42,75
917.89,73.545
918.36,75.182
918.83,75
919.29,71
919.76,74.636
920.23,73.909
920.7,76.636
921.17,75.909
921.64,71.545
922.11,71
922.58,71.909
923.05,71.909
923.52,73.546
923.99,73.909
924.46,73.182
924.92,70.636
925.39,72.636
925.86,71.182
926.33,73.909
926.8,76.273
927.27,74.818
927.74,71.546
928.21,71
928.68,75.364
929.14,73.364
929.61,71.364
930.08,71.909
930.55,71.182
931.02,73.727
931.49,70.273
931.96,66.455
932.42,71.909
932.89,67
933.36,68.455
933.83,72.454
934.3,69.364
934.77,70.273
935.23,73.182
935.7,72.273
936.17,72.273
936.64,70.273
937.11,68.818
937.58,71.364
938.04,64.454
938.51,64.455
938.98,72.636
939.45,73.182
939.91,67.364
940.38,66.273
940.85,67
941.32,67.182
941.79,67.727
942.25,68.091
942.72,68.091
943.19,65.909
943.66,65
944.12,71.909
944.59,64.636
945.06,66.091
945.53,67.546
946,63.182
946.46,73.364
946.93,65.727
947.4,68.091
947.86,67.546
948.33,67.182
948.8,64.818
949.26,71.364
949.73,65.182
950.2,64.636
950.67,63.909
951.13,63.727
951.6,62.636
952.07,64.454
952.53,59.182
953,62.091
953.47,65
953.93,66.636
954.4,62.818
954.87,65.727
955.33,64.091
955.8,61.182
956.27,66.818
956.74,69.909
957.2,60.455
957.67,61.545
958.13,59.909
958.6,61.545
959.07,63.182
959.53,66.091
960,61.727
960.47,61.909
960.93,63
961.4,60.091
961.87,64.273
962.33,61.182
962.8,61.364
963.26,65.909
963.73,61.727
964.2,61.545
964.66,63.909
965.13,59.364
965.59,64.636
966.06,58.091
966.52,59.909
966.99,66.636
967.46,61.727
967.92,58.818
968.39,60.818
968.86,62.818
969.32,61.182
969.78,59.727
970.25,59.727
970.72,60.091
971.18,63
971.65,60.636
972.11,62.455
972.58,56.636
973.04,62.273
973.51,59
973.98,57
974.44,61
974.9,59.545
975.37,57.182
975.84,59
976.3,57.909
976.77,65.727
977.23,60.455
977.7,60.636
978.16,63.909
978.63,63.545
979.09,60.818
979.56,61.182
980.02,61.182
980.49,59.727
980.95,59.545
981.41,61.909
981.88,62.273
982.35,63.364
982.81,58.636
983.27,61.727
983.74,61.909
984.2,63.182
984.67,62.273
985.13,61.909
985.6,60.636
986.06,58.091
986.52,60.818
986.99,58.091
987.45,63.364
987.92,59.364
988.38,60.636
988.85,58.818
989.31,61.364
989.78,61.182
990.24,59.727
990.7,59.727
991.17,60.455
991.63,58.273
992.1,57.545
992.56,62.818
993.02,57
993.49,60.455
993.95,59.182
994.41,58.091
994.88,61.182
995.34,56.455
995.8,62.091
996.27,57
996.73,60.455
997.2,57
997.66,57.909
998.12,57.545
998.59,59
999.05,60.091
999.51,59.364
999.98,59.364
1000.4,58.091
1000.9,58.273
1001.4,53.364
1001.8,55.364
1002.3,56.455
1002.8,58.455
1003.2,57.364
1003.7,60.091
1004.1,53.909
1004.6,57.182
1005.1,59
1005.5,57.182
1006,55.727
1006.5,62.273
1006.9,57.545
1007.4,57.727
1007.9,57.364
1008.3,56.091
1008.8,60.636
1009.2,58.455
1009.7,59.727
1010.2,59
1010.6,55.545
1011.1,59
1011.5,58.818
1012,58.455
1012.5,58.091
1012.9,60.273
1013.4,58.636
1013.9,57.909
1014.3,60.636
1014.8,61.909
1015.2,59.364
1015.7,60.636
1016.2,61.364
1016.6,57.727
1017.1,56.636
1017.6,59.182
1018,58.636
1018.5,59.727
1018.9,58.636
1019.4,60.091
1019.9,58.273
1020.3,56.818
1020.8,64.454
1021.2,57.727
1021.7,61.364
1022.2,62.273
1022.6,57.727
1023.1,61.545
1023.6,62.091
1024,59
1024.5,63.182
1025,61.909
1025.4,65.546
1025.9,62.091
1026.3,64.818
1026.8,63.545
1027.2,61.727
1027.7,67.546
1028.2,68.273
1028.6,69.364
1029.1,62.273
1029.6,66.091
1030,69.909
1030.5,65.546
1030.9,68.636
1031.4,69
1031.9,67.909
1032.3,73.727
1032.8,67.364
1033.2,69.182
1033.7,72.273
1034.2,73.364
1034.6,72.091
1035.1,71
1035.5,79
1036,77.909
1036.5,76.091
1036.9,74.273
1037.4,72.636
1037.8,73.182
1038.3,75.182
1038.8,73
1039.2,72.818
1039.7,67.546
1040.2,74.273
1040.6,71.546
1041.1,69.727
1041.5,74.091
1042,74.273
1042.5,74.454
1042.9,72.091
1043.4,71.546
1043.8,74.454
1044.3,76.273
1044.8,75.545
1045.2,71.182
1045.7,69.546
1046.1,71.182
1046.6,75.546
1047.1,71.909
1047.5,78.636
1048,71.182
1048.4,74.273
1048.9,74.636
1049.4,74.273
1049.8,75
1050.3,80.454
1050.7,74.636
1051.2,79.364
1051.7,81.545
1052.1,85.546
1052.6,90.454
1053,90.636
1053.5,90.273
1054,91
1054.4,97.364
1054.9,95.364
1055.3,107.36
1055.8,114.82
1056.2,117.18
1056.7,122.09
1057.2,127.91
1057.6,132.46
1058.1,135.18
1058.5,150.46
1059,155.18
1059.5,167.73
1059.9,170.27
1060.4,182.09
1060.8,179.73
1061.3,196.82
1061.8,198.46
1062.2,206.64
1062.7,215.73
1063.1,226.64
1063.6,224.09
1064,232.82
1064.5,240.46
1065,247.73
1065.4,261.73
1065.9,263.91
1066.3,279.55
1066.8,283.18
1067.2,291.55
1067.7,310.82
1068.2,317.18
1068.6,313
1069.1,323.36
1069.5,337.73
1070,353
1070.5,355.18
1070.9,368.64
1071.4,371.55
1071.8,375.73
1072.3,394.82
1072.8,388.82
1073.2,403
1073.7,397.18
1074.1,415.36
1074.6,422.82
1075,424.45
1075.5,427.55
1076,424.27
1076.4,426.27
1076.9,429.18
1077.3,431.18
1077.8,441.91
1078.2,440.09
1078.7,443.91
1079.2,431.73
1079.6,441.18
1080.1,449.18
1080.5,426.64
1081,442.27
1081.4,441
1081.9,439.36
1082.4,421.91
1082.8,421.18
1083.3,427.73
1083.7,422.27
1084.2,419.91
1084.6,408.82
1085.1,404.64
1085.6,393.91
1086,381.73
1086.5,372.82
1086.9,367.73
1087.4,361.73
1087.8,343.91
1088.3,338.27
1088.8,321.36
1089.2,307.73
1089.7,295.55
1090.1,283.18
1090.6,269.91
1091,256.27
1091.5,239.91
1092,229.91
1092.4,211.91
1092.9,200.09
1093.3,190.64
1093.8,173.91
1094.2,161.36
1094.7,148.09
1095.1,141.36
1095.6,134.46
1096.1,120.64
1096.5,115.18
1097,111.91
1097.4,99.182
1097.9,96.273
1098.3,91.364
1098.8,83.545
1099.2,82.454
1099.7,75.909
1100.2,75.909
1100.6,67.182
1101.1,72.091
1101.5,66.273
1102,63
1102.4,63.364
1102.9,62.818
1103.3,59.727
1103.8,59.182
1104.3,61.545
1104.7,56.273
1105.2,58.455
1105.6,56.636
1106.1,57
1106.5,55
1107,55.364
1107.5,54.091
1107.9,50.091
1108.4,54.818
1108.8,53.545
1109.3,52.091
1109.7,53.727
1110.2,53
1110.6,49.909
1111.1,54.818
1111.5,52.273
1112,54.091
1112.5,52.273
1112.9,53
1113.4,52.636
1113.8,53.545
1114.3,54.636
1114.7,52.818
1115.2,51.727
1115.6,51
1116.1,56.091
1116.5,50.273
1117,51.909
1117.5,53.545
1117.9,52.818
1118.4,46.455
1118.8,50.818
1119.3,53.545
1119.7,51.909
1120.2,50.091
1120.6,51
1121.1,49.909
1121.5,51.182
1122,46.455
1122.5,50.636
1122.9,54.455
1123.4,49.909
1123.8,52.091
1124.3,51.364
1124.7,49.364
1125.2,51
1125.6,48.636
1126.1,50.273
1126.5,50.455
1127,51.182
1127.4,47.182
1127.9,51
1128.3,45.909
1128.8,50.818
1129.3,47.909
1129.7,51.909
1130.2,48.273
1130.6,47.727
1131.1,46.636
1131.5,49.364
1132,51.364
1132.4,44.273
1132.9,50.818
1133.3,49.182
1133.8,50.455
1134.2,46.455
1134.7,51.545
1135.2,48.455
1135.6,48.273
1136.1,48.455
1136.5,44.273
1137,50.818
1137.4,47.364
1137.9,48.091
1138.3,46.818
1138.8,48.818
1139.2,48.091
1139.7,47.909
1140.1,50.273
1140.6,49
1141,50.273
1141.5,45.727
1142,47
1142.4,49.182
1142.8,44.455
1143.3,45.545
1143.8,47.909
1144.2,42.273
1144.7,45.727
1145.1,47.727
1145.6,46.273
1146,48.273
1146.5,47
1146.9,42.818
1147.4,47.727
1147.8,43.727
1148.3,48.636
1148.7,47
1149.2,47.909
1149.6,46.273
1150.1,48.818
1150.5,47.909
1151,50.455
1151.4,47.364
1151.9,48.091
1152.3,46.818
1152.8,46.636
1153.2,44.818
1153.7,49.364
1154.2,46.273
1154.6,49.364
1155.1,45.727
1155.5,45
1156,48.455
1156.4,46.636
1156.9,47.545
1157.3,44.636
