raman_shift, int
cm^-1, a.u.
850.38,80.454
850.86,80.818
851.33,83.182
851.81,87
852.28,83.182
852.76,82.091
853.23,85.546
853.7,82.454
854.18,85.727
854.65,83.364
855.13,88.454
855.6,84.818
856.08,87
856.55,88.273
857.02,89.545
857.5,86.454
857.97,84.273
858.45,91
858.92,89.182
859.39,88.818
859.87,89.182
860.34,88.273
860.82,87.364
861.29,90.636
861.76,89
862.24,88.818
862.71,88.273
863.18,87.727
863.66,83.727
864.13,87.545
864.6,90.454
865.08,81.182
865.55,86.818
866.02,85.727
866.5,87.727
866.97,84.454
867.45,83.364
867.92,85
868.39,84.818
868.87,83.727
869.34,81.909
869.81,79.182
870.28,81.909
870.76,81.182
871.23,81.182
871.7,82.455
872.18,84.273
872.65,80.818
873.12,78.818
873.59,79.364
874.07,81.182
874.54,79.546
875.01,77.727
875.49,80.273
875.96,76.273
876.43,78.636
876.9,76.273
877.38,79.546
877.85,78.636
878.32,77.546
878.79,76.636
879.27,75.546
879.74,81
880.21,80.091
880.68,76.636
881.15,74.818
881.63,78.454
882.1,72.454
882.57,77.364
883.04,77.364
883.52,67.182
883.99,75.182
884.46,71.546
884.93,70.091
885.4,70.454
885.88,72.636
886.35,71.546
886.82,68.818
887.29,73.182
887.76,72.091
888.24,75.727
888.71,71.364
889.18,68.636
889.65,68.273
890.12,71.909
890.59,72.454
891.07,69.727
891.54,72.818
892.01,65.727
892.48,69.546
892.95,68.636
893.42,73.182
893.89,69.182
894.37,75.909
894.84,73.182
895.31,70.818
895.78,70.091
896.25,72.454
896.72,68.273
897.19,71
897.66,71.727
898.13,72.454
898.61,69
899.08,70.636
899.55,69.545
900.02,67.909
900.49,72.636
900.96,72.636
901.43,75
901.9,70.091
902.37,69.727
902.84,71.909
903.31,67.909
903.78,72.636
904.26,68.091
904.73,71.364
905.2,68.636
905.67,71.909
906.14,71
906.61,72.091
907.08,69.182
907.55,68.818
908.02,70.273
908.49,68.454
908.96,67.727
909.43,70.455
909.9,74.636
910.37,71.727
910.84,72.454
911.31,72.636
911.78,71.182
912.25,70.454
912.72,73.546
913.19,72.273
913.66,69.909
914.13,71.364
914.6,73
915.07,71.546
915.54,68.454
916.01,71.909
916.48,71
916.95,72.818
917.42,70.091
917.89,67.182
918.36,70.091
918.83,69.727
919.29,67.909
919.76,63.727
920.23,68.454
920.7,67.364
921.17,67.546
921.64,70.454
922.11,66.818
922.58,70.818
923.05,68.091
923.52,71.727
923.99,67.909
924.46,71
924.92,69.546
925.39,66.636
925.86,67
926.33,67.546
926.8,69.182
927.27,66.091
927.74,68.636
928.21,64.455
928.68,66.818
929.14,65.364
929.61,69
930.08,66.636
930.55,70.273
931.02,70.273
931.49,69.182
931.96,67.545
932.42,66.454
932.89,63
933.36,70.273
933.83,66.273
934.3,64.455
934.77,68.273
935.23,63.364
935.7,66.454
936.17,65.727
936.64,66.273
937.11,67.546
937.58,61.909
938.04,66.636
938.51,66.273
938.98,63
939.45,64.818
939.91,66.636
940.38,64.454
940.85,61.727
941.32,65.727
941.79,65.364
942.25,60.818
942.72,63.909
943.19,62.818
943.66,65.727
944.12,62.273
944.59,61.727
945.06,64.454
945.53,65.727
946,60.636
946.46,61
946.93,61
947.4,61.182
947.86,59
948.33,61.364
948.8,61.364
949.26,63.364
949.73,62.091
950.2,62.273
950.67,63.909
951.13,60.091
951.6,67.182
952.07,63
952.53,61.909
953,63.727
953.47,61
953.93,57.182
954.4,63.727
954.87,63.364
955.33,62.818
955.8,60.636
956.27,62.818
956.74,66.454
957.2,63.727
957.67,59.364
958.13,59.364
958.6,63.364
959.07,59.909
959.53,58.818
960,61.909
960.47,61
960.93,57.182
961.4,56.273
961.87,58.273
962.33,59.545
962.8,60.636
963.26,61
963.73,58.818
964.2,62.091
964.66,57.182
965.13,59.545
965.59,57
966.06,52.091
966.52,59.545
966.99,55.727
967.46,57.727
967.92,63.909
968.39,59.727
968.86,61
969.32,56.818
969.78,55.545
970.25,57.364
970.72,58.818
971.18,58.455
971.65,56.818
972.11,61.364
972.58,56.091
973.04,58.636
973.51,52.818
973.98,54.455
974.44,55.545
974.9,57.909
975.37,59.364
975.84,58.455
976.3,60.091
976.77,59.182
977.23,58.455
977.7,57.182
978.16,57.364
978.63,59
979.09,61
979.56,58.818
980.02,58.273
980.49,57.545
980.95,60.273
981.41,56.455
981.88,57.545
982.35,56.818
982.81,56.091
983.27,59.545
983.74,58.273
984.2,58.636
984.67,55.182
985.13,56.636
985.6,54.818
986.06,56.273
986.52,61.545
986.99,57.364
987.45,60.273
987.92,57.364
988.38,53.909
988.85,56.636
989.31,55.545
989.78,57.909
990.24,57.727
990.7,57.545
991.17,56.636
991.63,59.545
992.1,57.545
992.56,51.182
993.02,57
993.49,58.273
993.95,55.909
994.41,55.909
994.88,56.455
995.34,54.818
995.8,58.455
996.27,55.909
996.73,55.727
997.2,57.545
997.66,55.909
998.12,54.455
998.59,54.273
999.05,59.182
999.51,55.182
999.98,55.909
1000.4,55.727
1000.9,56.273
1001.4,53.727
1001.8,56.091
1002.3,55
1002.8,55.182
1003.2,53.727
1003.7,56.636
1004.1,58.455
1004.6,57
1005.1,55.909
1005.5,53.909
1006,54.273
1006.5,57
1006.9,60.818
1007.4,56.455
1007.9,55.909
1008.3,57.545
1008.8,58.455
1009.2,56.818
1009.7,56.091
1010.2,58.091
1010.6,56.091
1011.1,59.182
1011.5,52.636
1012,58.091
1012.5,56.091
1012.9,57.364
1013.4,57.182
1013.9,56.091
1014.3,56.273
1014.8,56.091
1015.2,56.091
1015.7,59
1016.2,53.909
1016.6,55.364
1017.1,60.273
1017.6,61
1018,56.818
1018.5,58.636
1018.9,56.455
1019.4,59.182
1019.9,58.455
1020.3,60.273
1020.8,61.909
1021.2,59.545
1021.7,58.455
1022.2,57
1022.6,58.818
1023.1,56.818
1023.6,61.182
1024,55.909
1024.5,59.182
1025,60.273
1025.4,57.909
1025.9,62.818
1026.3,61.364
1026.8,62.273
1027.2,60.636
1027.7,61
1028.2,60.091
1028.6,65.364
1029.1,63.727
1029.6,63.545
1030,67
1030.5,65.182
1030.9,66.091
1031.4,65
1031.9,66.091
1032.3,70.091
1032.8,68.454
1033.2,69.182
1033.7,69
1034.2,65.909
1034.6,69.182
1035.1,70.455
1035.5,68.636
1036,72.818
1036.5,74.636
1036.9,73.364
1037.4,74.273
1037.8,75.546
1038.3,71.364
1038.8,75
1039.2,70.818
1039.7,72.818
1040.2,71.545
1040.6,71.909
1041.1,75.727
1041.5,74.454
1042,72.636
1042.5,72.818
1042.9,75
1043.4,70.818
1043.8,72.818
1044.3,72.273
1044.8,71.727
1045.2,76.273
1045.7,77.546
1046.1,80.273
1046.6,75.182
1047.1,77.909
1047.5,79.909
1048,86.455
1048.4,86.273
1048.9,90.454
1049.4,90.091
1049.8,96.091
1050.3,101.55
1050.7,98.636
1051.2,105.91
1051.7,107.55
1052.1,114.45
1052.6,118.64
1053,127.73
1053.5,131.36
1054,138.09
1054.4,140.09
1054.9,157.18
1055.3,161
1055.8,175.36
1056.2,180.46
1056.7,195.18
1057.2,203.54
1057.6,215.36
1058.1,227.36
1058.5,236.09
1059,251.36
1059.5,257.91
1059.9,276.09
1060.4,281.73
1060.8,297.91
1061.3,310.64
1061.8,315.55
1062.2,332.82
1062.7,338.45
1063.1,350.82
1063.6,363.73
1064,369.73
1064.5,379.73
1065,385.91
1065.4,385.55
1065.9,403.36
1066.3,406.45
1066.8,402.82
1067.2,421.18
1067.7,410.64
1068.2,413.91
1068.6,421
1069.1,426.09
1069.5,419
1070,419.73
1070.5,417.73
1070.9,410.64
1071.4,408.45
1071.8,419.55
1072.3,394.27
1072.8,397.18
1073.2,397.18
1073.7,385.55
1074.1,387.55
1074.6,367.18
1075,363.73
1075.5,356.45
1076,342.64
1076.4,327.91
1076.9,331.36
1077.3,322.45
1077.8,312.82
1078.2,298.27
1078.7,290.64
1079.2,280.27
1079.6,264.64
1080.1,267.18
1080.5,250.46
1081,249.91
1081.4,236.09
1081.9,223.73
1082.4,215.54
1082.8,201
1083.3,201
1083.7,187.73
1084.2,186.46
1084.6,176.27
1085.1,169.73
1085.6,167
1086,159.54
1086.5,152.82
1086.9,139.91
1087.4,141
1087.8,128.27
1088.3,126.09
1088.8,127.36
1089.2,118.82
1089.7,112.82
1090.1,112.64
1090.6,102.27
1091,96.273
1091.5,97.182
1092,92.636
1092.4,87.727
1092.9,84.636
1093.3,82.818
1093.8,77.182
1094.2,79.727
1094.7,74.818
1095.1,72.273
1095.6,72.273
1096.1,67.727
1096.5,68.636
1097,67.182
1097.4,61
1097.9,66.454
1098.3,63.364
1098.8,60.636
1099.2,61.182
1099.7,60.455
1100.2,59.364
1100.6,56.636
1101.1,57.545
1101.5,53.545
1102,53.909
1102.4,55.909
1102.9,57.545
1103.3,51.909
1103.8,52.636
1104.3,50.636
1104.7,52.091
1105.2,53.909
1105.6,55.182
1106.1,52.273
1106.5,52.091
1107,53
1107.5,51.364
1107.9,46.636
1108.4,49
1108.8,51.182
1109.3,50.636
1109.7,51.364
1110.2,51.182
1110.6,47.182
1111.1,49.545
1111.5,53.727
1112,49.182
1112.5,50.818
1112.9,47.909
1113.4,49.545
1113.8,50.818
1114.3,50.455
1114.7,50.273
1115.2,51.727
1115.6,49
1116.1,52.273
1116.5,50.091
1117,50.455
1117.5,52.455
1117.9,50.636
1118.4,50.091
1118.8,48.636
1119.3,45.545
1119.7,49.545
1120.2,45.727
1120.6,47.545
1121.1,48.455
1121.5,49
1122,44.455
1122.5,47.364
1122.9,46.636
1123.4,50.636
1123.8,47.364
1124.3,49.182
1124.7,49.182
1125.2,47.545
1125.6,43.182
1126.1,45.182
1126.5,45.727
1127,48.273
1127.4,49.364
1127.9,48.636
1128.3,48.818
1128.8,45.545
1129.3,47.182
1129.7,46.818
1130.2,44.273
1130.6,45.364
1131.1,45.909
1131.5,48.636
1132,48.455
1132.4,45
1132.9,46.636
1133.3,49
1133.8,48.273
1134.2,47.364
1134.7,43
1135.2,45.182
1135.6,43.545
1136.1,46.818
1136.5,44.091
1137,48.636
1137.4,46.455
1137.9,45.545
1138.3,39.545
1138.8,45.545
1139.2,43
1139.7,47.545
1140.1,45
1140.6,43.909
1141,45.727
1141.5,46.455
1142,41.364
1142.4,45.545
1142.8,45.909
1143.3,45.364
1143.8,45.727
1144.2,43.545
1144.7,47
1145.1,46.818
1145.6,41.909
1146,43.727
1146.5,43
1146.9,43.182
1147.4,44.273
1147.8,47
1148.3,41.909
1148.7,46.818
1149.2,43.545
1149.6,43.182
1150.1,47
1150.5,45.727
1151,44.636
1151.4,44.273
1151.9,44.455
1152.3,44.273
1152.8,45.909
1153.2,44.818
1153.7,41.545
1154.2,43.364
1154.6,45.364
1155.1,48.273
1155.5,43.364
1156,41.727
1156.4,47.545
1156.9,46.091
1157.3,44.818
1157.8,43.727
1158.2,41.727
1158.7,44.091
1159.1,41
1159.6,45.182
1160,41
1160.5,43.727
1160.9,41.727
1161.4,42.818
1161.8,43
1162.3,46.818
1162.7,42.455
1163.2,40.636
1163.6,43.182
1164.1,44.818
1164.5,45.545
1165,46.818
1165.4,44.636
1165.9,41.545
1166.3,46.091
1166.8,44.455
1167.2,42.455
1167.7,38.818
1168.1,45.727
1168.6,40.818
1169,37.545
1169.5,43.727
1169.9,42.818
1170.4,42.091
1170.8,42.636
1171.3,40.636
1171.7,44.636
1172.2,44.273
1172.6,45.364
1173.1,45.182
1173.5,41.909
1174,40.455
1174.5,44.273
1174.9,43.545
1175.3,42.091
1175.8,46.818
1176.2,43.545
1176.7,44.636
1177.2,38.273
1177.6,44.636
1178,42.818
1178.5,42.091
1179,40.818
1179.4,39.364
1179.8,43.909
1180.3,37.909
1180.8,39
1181.2,39.545
1181.6,41.909
1182.1,44.273
1182.5,41.727
1183,39.545
1183.4,39.545
1183.9,40.818
1184.3,41.545
1184.8,40.818
1185.2,41.727
1185.7,43
1186.1,40.818
1186.6,44.455
1187,40.818
1187.5,42.091
1187.9,39
1188.4,38.636
1188.8,39.182
1189.3,43.364
1189.7,43.364
1190.2,39
1190.6,37.727
1191.1,39.182
1191.5,42.091
1192,43
1192.4,37.364
1192.9,43.545
1193.3,41.545
1193.8,40.818
1194.2,39.545
1194.7,39.364
1195.1,40.091
1195.6,43.909
1196,41.545
1196.5,40.455
1196.9,43.545
1197.4,39.909
1197.8,38.455
1198.3,41
1198.7,40.455
1199.2,39.909
1199.6,43
1200,39.545
1200.5,42.636
1201,39.545
1201.4,39.727
1201.8,40.636
1202.3,40.273
1202.7,38.818
1203.2,39.182
1203.6,39.182
1204.1,41.364
1204.5,37.545
1205,40.636
1205.4,40.636
1205.9,41
1206.3,41.545
1206.8,43.182
1207.2,42.455
1207.7,41.364
1208.1,39.545
1208.6,41.364
1209,39
1209.5,37.727
1209.9,42.091
1210.3,38.636
1210.8,39.545
1211.2,37.909
1211.7,42.273
1212.1,40.273
1212.6,41
1213,41.545
1213.5,38.455
1213.9,39
1214.4,41
1214.8,39.182
1215.3,37
1215.7,40.091
1216.2,39.545
1216.6,37.909
1217.1,37.182
1217.5,38.818
1218,40.273
1218.4,39.727
1218.8,39.545
1219.3,39.364
1219.7,41.545
1220.2,43.364
1220.6,41.727
1221.1,40.273
1221.5,42.455
1222,37.909
1222.4,41
1222.9,42.091
1223.3,38.273
1223.8,40.091
1224.2,39.364
1224.7,37.727
1225.1,37.909
1225.5,40.455
1226,40.091
1226.4,40.091
1226.9,39.545
1227.3,43.182
1227.8,35.545
1228.2,43.182
1228.7,40.818
1229.1,39.364
1229.6,38.273
1230,43.182
1230.5,40.636
1230.9,39.182
1231.3,39.364
1231.8,41.545
1232.2,39.909
1232.7,38.636
1233.1,40.273
1233.6,38.818
1234,43.182
1234.5,38.818
1234.9,38.273
1235.3,41.182
1235.8,41.364
1236.2,42.818
1236.7,42.636
1237.1,41.182
1237.6,42.818
1238,46.455
1238.5,45.909
1238.9,38.818
1239.4,39.727
1239.8,42.091
1240.2,40.636
1240.7,40.273
1241.1,40.273
1241.6,43.182
1242,41.727
1242.5,39
1242.9,41.182
1243.4,45.909
1243.8,45
1244.3,41.182
1244.7,43.545
1245.2,41
1245.6,44.455
1246,44.273
1246.5,46.273
1246.9,45
1247.4,45.545
1247.8,50.273
1248.3,46.273
1248.7,46.273
1249.2,49.364
1249.6,48.273
