raman_shift, int
cm^-1, a.u.
850.38,83.727
850.86,83.546
851.33,83
851.81,81.727
852.28,85.182
852.76,86.091
853.23,86.273
853.7,89.727
854.18,86.818
854.65,92.818
855.13,84.454
855.6,87.909
856.08,88.455
856.55,88.454
857.02,92.454
857.5,91.909
857.97,91.909
858.45,87.909
858.92,91.546
859.39,89.364
859.87,93.727
860.34,90.091
860.82,93.909
861.29,90.273
861.76,88.273
862.24,89.727
862.71,93.182
863.18,88.818
863.66,93
864.13,89.364
864.6,83.727
865.08,86.818
865.55,91.545
866.02,88.091
866.5,89.727
866.97,87.727
867.45,85.364
867.92,84.091
868.39,87.364
868.87,87.546
869.34,83.727
869.81,82.273
870.28,81.182
870.76,88.273
871.23,83.182
871.7,81.364
872.18,84.091
872.65,82.091
873.12,83.909
873.59,84.091
874.07,79.364
874.54,83
875.01,79.909
875.49,78.091
875.96,82.636
876.43,77.545
876.9,80.818
877.38,73.545
877.85,73.727
878.32,79.364
878.79,76.273
879.27,74.091
879.74,75
880.21,80.636
880.68,75.727
881.15,73.182
881.63,74.818
882.1,68.455
882.57,74.454
883.04,74.818
883.52,76.091
883.99,71.546
884.46,73
884.93,70.091
885.4,72.818
885.88,69.546
886.35,71.182
886.82,73.182
887.29,70.454
887.76,73.727
888.24,67
888.71,74.454
889.18,67
889.65,72.454
890.12,71.546
890.59,69.909
891.07,71.727
891.54,68.091
892.01,69.546
892.48,67.364
892.95,66.454
893.42,69.909
893.89,68.636
894.37,70.273
894.84,69
895.31,70.091
895.78,68.636
896.25,69.909
896.72,68.818
897.19,73.727
897.66,72.636
898.13,69.364
898.61,71
899.08,70.636
899.55,71.909
900.02,70.636
900.49,68.455
900.96,72.091
901.43,71
901.9,68.636
902.37,66.636
902.84,71.546
903.31,66.818
903.78,70.454
904.26,66.091
904.73,66.273
905.2,74.273
905.67,65.909
906.14,69
906.61,69
907.08,69.727
907.55,69.546
908.02,64.273
908.49,71.364
908.96,69.546
909.43,69
909.9,70.454
910.37,72.636
910.84,67
911.31,66.818
911.78,69
912.25,69
912.72,71.546
913.19,65
913.66,68.273
914.13,64.636
914.6,65.182
915.07,68.455
915.54,72.273
916.01,68.091
916.48,67.545
916.95,69.727
917.42,65.364
917.89,67
918.36,68.273
918.83,64.454
919.29,68.818
919.76,69.727
920.23,67
920.7,68.273
921.17,67.182
921.64,68.455
922.11,70.455
922.58,66.636
923.05,66.273
923.52,68.273
923.99,70.636
924.46,68.818
924.92,68.636
925.39,65.909
925.86,66.455
926.33,71.364
926.8,66.636
927.27,67.364
927.74,68.454
928.21,67
928.68,68.818
929.14,67.546
929.61,66.818
930.08,60.818
930.55,69
931.02,66.091
931.49,69.545
931.96,68.455
932.42,62.455
932.89,64.273
933.36,67.364
933.83,66.091
934.3,63.909
934.77,65.182
935.23,65.909
935.7,67
936.17,66.636
936.64,62.273
937.11,62.818
937.58,65
938.04,61.545
938.51,66.273
938.98,61.545
939.45,66.091
939.91,61.727
940.38,61.364
940.85,62.455
941.32,62.636
941.79,63.727
942.25,59.545
942.72,62.091
943.19,62.273
943.66,59.909
944.12,64.091
944.59,64.818
945.06,59.909
945.53,64.273
946,63
946.46,60.455
946.93,64.454
947.4,59.545
947.86,61.182
948.33,61.727
948.8,63
949.26,58.455
949.73,63.364
950.2,59.909
950.67,62.273
951.13,61.545
951.6,64.455
952.07,63.364
952.53,62.455
953,58.091
953.47,62.636
953.93,56.818
954.4,57.909
954.87,60.273
955.33,60.455
955.8,60.091
956.27,60.636
956.74,62.636
957.2,60.818
957.67,59.909
958.13,61.182
958.6,60.455
959.07,59.364
959.53,60.273
960,59.727
960.47,59
960.93,59.364
961.4,59.545
961.87,57
962.33,56.636
962.8,59.364
963.26,58.455
963.73,61.182
964.2,60.818
964.66,60.636
965.13,58.273
965.59,56.636
966.06,58.273
966.52,56.091
966.99,60.455
967.46,59.545
967.92,60.455
968.39,55
968.86,57
969.32,59.182
969.78,58.455
970.25,53.909
970.72,57.182
971.18,59.727
971.65,58.455
972.11,60.091
972.58,56.455
973.04,56.091
973.51,60.273
973.98,59.909
974.44,53.364
974.9,59.364
975.37,58.455
975.84,54.636
976.3,55.364
976.77,53.364
977.23,58.636
977.7,56.636
978.16,55.364
978.63,58.455
979.09,60.455
979.56,55
980.02,57.182
980.49,59.545
980.95,54.818
981.41,56.091
981.88,59.545
982.35,56.818
982.81,55.727
983.27,57.727
983.74,55.909
984.2,54.636
984.67,58.455
985.13,56.818
985.6,56.818
986.06,58.091
986.52,55.182
986.99,58.273
987.45,55.727
987.92,56.455
988.38,58.818
988.85,57.364
989.31,59.727
989.78,58.636
990.24,57
990.7,55.727
991.17,56.091
991.63,59.545
992.1,52.818
992.56,56.455
993.02,57
993.49,57.545
993.95,58.273
994.41,56.273
994.88,57.545
995.34,55.909
995.8,56.091
996.27,53.364
996.73,57.727
997.2,53.909
997.66,55.909
998.12,57
998.59,55.545
999.05,55.727
999.51,57.727
999.98,56.818
1000.4,57.364
1000.9,55.909
1001.4,56.636
1001.8,54.091
1002.3,55.727
1002.8,57.182
1003.2,57.182
1003.7,57.727
1004.1,56.273
1004.6,53.909
1005.1,54.091
1005.5,54.091
1006,55.545
1006.5,56.091
1006.9,55.727
1007.4,55.545
1007.9,58.455
1008.3,59.727
1008.8,57.727
1009.2,54.636
1009.7,58.273
1010.2,55.727
1010.6,58.091
1011.1,58.455
1011.5,56.636
1012,57.727
1012.5,54.818
1012.9,58.091
1013.4,55.182
1013.9,55.364
1014.3,57.364
