raman_shift, int
cm^-1, a.u.
850.38,72.091
850.86,71.727
851.33,73
851.81,73.364
852.28,73
852.76,69
853.23,77.182
853.7,70.818
854.18,78.273
854.65,73.182
855.13,73.364
855.6,67.545
856.08,75.545
856.55,71.364
857.02,74.091
857.5,74.454
857.97,74.091
858.45,77.182
858.92,71.909
859.39,73.909
859.87,71.909
860.34,75.182
860.82,71.182
861.29,73.546
861.76,75.909
862.24,80.091
862.71,74.454
863.18,75.182
863.66,73
864.13,72.273
864.6,74.273
865.08,70.273
865.55,74.818
866.02,71.909
866.5,72.455
866.97,75.546
867.45,71.364
867.92,74.273
868.39,75.727
868.87,75.546
869.34,76.818
869.81,75.364
870.28,76.091
870.76,76.091
871.23,74.273
871.7,74.273
872.18,77.727
872.65,79.182
873.12,73.182
873.59,77.727
874.07,76.636
874.54,74.273
875.01,75
875.49,75.545
875.96,71.909
876.43,73.364
876.9,73.545
877.38,75
877.85,72.636
878.32,72.091
878.79,73
879.27,71.545
879.74,69.727
880.21,71.909
880.68,72.636
881.15,69
881.63,71.364
882.1,70.636
882.57,71.909
883.04,67.545
883.52,69.546
883.99,69.727
884.46,73.727
884.93,68.636
885.4,68.818
885.88,69.182
886.35,68.454
886.82,70.636
887.29,67.909
887.76,71.364
888.24,66.273
888.71,73.364
889.18,67
889.65,70.454
890.12,66.818
890.59,71.364
891.07,73.182
891.54,70.636
892.01,69.909
892.48,70.273
892.95,70.454
893.42,69.727
893.89,69.182
894.37,71.727
894.84,70.636
895.31,71.727
895.78,68.818
896.25,69.909
896.72,70.454
897.19,70.454
897.66,68.091
898.13,66.636
898.61,72.273
899.08,72.454
899.55,74.636
900.02,71
900.49,72.273
900.96,70.455
901.43,71.182
901.9,71.364
902.37,67.364
902.84,71.727
903.31,69.546
903.78,72.818
904.26,69.546
904.73,71.182
905.2,76.273
905.67,71.546
906.14,68.454
906.61,70.818
907.08,72.636
907.55,71.727
908.02,76.091
908.49,69.909
908.96,70.273
909.43,70.455
909.9,71.364
910.37,70.273
910.84,72.454
911.31,71.727
911.78,70.636
912.25,69.182
912.72,71.909
913.19,70.818
913.66,72.455
914.13,72.454
914.6,74.455
915.07,71.182
915.54,71.909
916.01,66.454
916.48,76.636
916.95,68.818
917.42,73
917.89,65.909
918.36,73
918.83,68.818
919.29,72.091
919.76,69.182
920.23,66.273
920.7,70.636
921.17,73.727
921.64,66.636
922.11,68.454
922.58,68.091
923.05,66.454
923.52,68.818
923.99,67.364
924.46,69.364
924.92,71.182
925.39,69.364
925.86,68.818
926.33,68.636
926.8,68.091
927.27,67.546
927.74,60.818
928.21,70.091
928.68,70.091
929.14,72.818
929.61,69.182
930.08,70.818
930.55,66.636
931.02,65.727
931.49,65.546
931.96,69.182
932.42,64.091
932.89,67
933.36,68.455
933.83,66.454
934.3,64.273
934.77,63.545
935.23,65.727
935.7,70.091
936.17,69.364
936.64,63.909
937.11,68.454
937.58,61
938.04,66.091
938.51,67.546
938.98,65
939.45,67.182
939.91,63.364
940.38,67.364
940.85,67.545
941.32,62.818
941.79,65
942.25,65.546
942.72,70.273
943.19,66.454
943.66,59.727
944.12,66.818
944.59,61.909
945.06,66.636
945.53,65.182
946,61
946.46,60.455
946.93,64.818
947.4,64.273
947.86,63.364
948.33,62.455
948.8,64.273
949.26,61.545
949.73,60.818
950.2,61.909
950.67,64.818
951.13,59.727
951.6,62.455
952.07,63.909
952.53,60.091
953,62.455
953.47,59.364
953.93,60.818
954.4,61.182
954.87,60.455
955.33,59.182
955.8,60.455
956.27,59.364
956.74,58.818
957.2,61
957.67,64.455
958.13,57.727
958.6,60.818
959.07,65.364
959.53,59.182
960,61.182
960.47,60.818
960.93,62.091
961.4,62.818
961.87,63.545
962.33,60.818
962.8,63
963.26,61.545
963.73,59.727
964.2,60.455
964.66,60.818
965.13,59.545
965.59,61.727
966.06,61
966.52,63
966.99,57
967.46,60.636
967.92,55.545
968.39,56.818
968.86,63.545
969.32,59.545
969.78,59.364
970.25,60.091
970.72,54.636
971.18,60.818
971.65,59.364
972.11,57.545
972.58,56.273
973.04,57.182
973.51,56.818
973.98,59.727
974.44,59.182
974.9,58.091
975.37,59.727
975.84,59.364
976.3,56.636
976.77,58.273
977.23,57.545
977.7,54.818
978.16,58.273
978.63,61.909
979.09,56.818
979.56,61.545
980.02,57.545
980.49,56.818
980.95,53.909
981.41,57
981.88,54.636
982.35,55.182
982.81,59.727
983.27,59.727
983.74,57.909
984.2,56.273
984.67,59
985.13,55
985.6,56.273
986.06,58.091
986.52,58.818
986.99,59.545
987.45,57.909
987.92,57.545
988.38,53.909
988.85,57
989.31,59.909
989.78,54.091
990.24,59.545
990.7,56.818
991.17,57.182
991.63,58.818
992.1,57.182
992.56,56.091
993.02,56.818
993.49,56.273
993.95,55.364
994.41,61.182
994.88,54.636
995.34,61.182
995.8,56.636
996.27,54.818
996.73,56.818
997.2,54.455
997.66,54.455
998.12,52.273
998.59,56.091
999.05,57
999.51,57.727
999.98,53.545
1000.4,51
1000.9,57.364
1001.4,57.909
1001.8,53.364
1002.3,56.273
1002.8,58.636
1003.2,59
1003.7,54.636
1004.1,56.091
1004.6,57
1005.1,60.818
1005.5,53.545
1006,57.545
1006.5,56.091
1006.9,56.636
1007.4,56.636
1007.9,53.727
1008.3,58.273
1008.8,59.545
1009.2,54.818
1009.7,58.818
1010.2,57.727
1010.6,55.727
1011.1,57.364
1011.5,57.182
1012,55.545
1012.5,54.455
1012.9,54.636
1013.4,59.909
1013.9,59.909
1014.3,56.636
1014.8,53.727
1015.2,59
1015.7,60.455
1016.2,58.091
1016.6,60.091
1017.1,55.909
1017.6,59
1018,55.545
1018.5,55.364
1018.9,58.818
1019.4,59
1019.9,59.727
1020.3,56.455
1020.8,59.909
1021.2,57.182
1021.7,57.364
1022.2,54.091
1022.6,60.091
1023.1,59.545
1023.6,60.091
1024,59.182
1024.5,55.909
1025,59.182
1025.4,60.091
1025.9,60.636
1026.3,65
1026.8,62.273
1027.2,66.636
1027.7,63.727
1028.2,58.636
1028.6,63.909
1029.1,67
1029.6,63.909
1030,64.091
1030.5,66.273
1030.9,64.818
1031.4,69.364
1031.9,68.818
1032.3,67
1032.8,71
1033.2,71
1033.7,67.364
1034.2,67.727
1034.6,71
1035.1,69.364
1035.5,69.364
1036,70.818
1036.5,71.182
1036.9,70.273
1037.4,72.818
1037.8,70.636
1038.3,70.818
1038.8,70.636
1039.2,68.636
1039.7,71.364
1040.2,73.909
1040.6,69
1041.1,67.182
1041.5,73.546
1042,65
1042.5,69.182
1042.9,68.818
1043.4,70.818
1043.8,73.364
1044.3,68.636
1044.8,74.091
1045.2,71.546
1045.7,70.091
1046.1,72.636
1046.6,71
1047.1,76.455
1047.5,66.636
1048,73.727
1048.4,75.909
1048.9,78.454
1049.4,76.818
1049.8,78.818
1050.3,78.636
1050.7,80.454
1051.2,80.091
1051.7,86.273
1052.1,87
1052.6,90.273
1053,98.273
1053.5,98.273
1054,103.36
1054.4,108.09
1054.9,109.18
1055.3,116.64
1055.8,133.73
1056.2,135.91
1056.7,146.27
1057.2,157.54
1057.6,163.91
1058.1,181.36
1058.5,192.09
1059,213.73
1059.5,212.64
1059.9,226.82
1060.4,241
1060.8,240.46
1061.3,246.64
1061.8,246.82
1062.2,255.54
1062.7,254.09
1063.1,257
1063.6,263.73
1064,261.73
1064.5,269.18
1065,277.73
1065.4,288.45
1065.9,300.45
1066.3,309
1066.8,319.91
1067.2,327.36
1067.7,339.91
1068.2,353
1068.6,362.09
1069.1,364.82
1069.5,372.27
1070,392.09
1070.5,396.09
1070.9,408.45
1071.4,416.45
1071.8,430.45
1072.3,439.73
1072.8,443.18
1073.2,456.64
1073.7,459.73
1074.1,467.73
1074.6,475
1075,472.27
1075.5,484.64
1076,492.45
1076.4,496.64
1076.9,501
1077.3,503
1077.8,503.18
1078.2,502.82
1078.7,510.27
1079.2,512.09
1079.6,518.45
1080.1,506.27
1080.5,514.09
1081,513.36
1081.4,505.55
1081.9,505.73
1082.4,502.64
1082.8,487.91
1083.3,489.36
1083.7,496.82
1084.2,499.36
1084.6,478.82
1085.1,484.09
1085.6,465
1086,457
1086.5,448.82
1086.9,436.27
1087.4,418.82
1087.8,413.36
1088.3,402.45
1088.8,370.09
1089.2,368.82
1089.7,347.18
1090.1,334.82
1090.6,323
1091,300.82
1091.5,284.82
1092,266.45
1092.4,254.46
1092.9,234.82
1093.3,218.09
1093.8,198.46
1094.2,187.18
1094.7,174.27
1095.1,161.54
1095.6,148.82
1096.1,136.82
1096.5,127.55
1097,115.36
1097.4,105
1097.9,103.55
1098.3,95.182
1098.8,91.545
1099.2,83.182
1099.7,80.091
1100.2,75.909
1100.6,72.091
1101.1,69.546
1101.5,66.091
1102,67
1102.4,66.273
1102.9,60.636
1103.3,62.818
1103.8,60.455
1104.3,59.909
1104.7,57.182
1105.2,53.182
1105.6,59.545
1106.1,53.727
1106.5,50.455
1107,53.909
1107.5,50.636
1107.9,51.364
1108.4,50.818
1108.8,50.455
1109.3,49.909
1109.7,50.455
1110.2,51.727
1110.6,47.545
1111.1,51.182
1111.5,51
1112,48.818
1112.5,50.636
1112.9,48.818
1113.4,50.455
1113.8,46.636
1114.3,53
1114.7,52.091
1115.2,51.909
1115.6,50.818
1116.1,54.636
1116.5,48.273
1117,49.545
1117.5,50.636
1117.9,49
1118.4,51.727
1118.8,47.364
1119.3,48.273
1119.7,52.091
1120.2,49.364
1120.6,48.818
1121.1,48.273
1121.5,45.545
1122,48.636
1122.5,45
1122.9,47.727
1123.4,47.727
1123.8,47.364
1124.3,46.636
1124.7,47.727
1125.2,47.364
1125.6,45.545
1126.1,47
1126.5,47.182
1127,49.545
1127.4,49.545
1127.9,51.364
1128.3,46.636
1128.8,51.364
1129.3,49.727
1129.7,48.455
1130.2,41.909
1130.6,49.909
1131.1,47.182
1131.5,47.545
1132,46.636
1132.4,42.091
1132.9,49.545
1133.3,47.727
1133.8,49.545
1134.2,43.545
1134.7,46.455
1135.2,45.364
1135.6,47.727
1136.1,48.636
1136.5,44.636
1137,48.273
1137.4,46.091
1137.9,47.545
1138.3,46.091
1138.8,45
1139.2,45.545
1139.7,47.727
1140.1,46.818
1140.6,45
1141,48.636
1141.5,43.909
1142,42.818
1142.4,42.091
1142.8,43.364
1143.3,46.273
1143.8,42.636
1144.2,44.818
1144.7,46.455
1145.1,44.455
1145.6,44.818
1146,46.636
1146.5,43
1146.9,44.091
1147.4,42.818
1147.8,43.364
1148.3,45.727
1148.7,42.818
1149.2,46.818
1149.6,46.636
1150.1,42.818
1150.5,44.273
1151,42.818
1151.4,39.909
1151.9,44.455
1152.3,42.636
1152.8,49.182
1153.2,41
1153.7,44.818
1154.2,44.091
1154.6,43.727
1155.1,42.455
1155.5,41.545
1156,46.091
1156.4,43.364
1156.9,46.091
1157.3,43.545
1157.8,47.182
1158.2,41.364
1158.7,46.455
1159.1,42.091
1159.6,44.455
1160,44.455
1160.5,41.364
1160.9,40.818
1161.4,40.273
1161.8,42.091
1162.3,42.273
1162.7,42.455
1163.2,40.818
1163.6,43.364
1164.1,41.727
1164.5,42.273
1165,42.636
1165.4,42.091
1165.9,44.273
1166.3,41.182
