raman_shift, int
cm^-1, a.u.
850.38,90.636
850.86,88.273
851.33,90.273
851.81,88.454
852.28,92.273
852.76,91.364
853.23,92.091
853.7,89.182
854.18,88.818
854.65,92.273
855.13,86.454
855.6,92.273
856.08,92.818
856.55,95.727
857.02,94.636
857.5,95.182
857.97,95
858.45,91.727
858.92,93.727
859.39,97.364
859.87,97.182
860.34,95.182
860.82,95.364
861.29,92.454
861.76,90.273
862.24,92.818
862.71,94.273
863.18,89.909
863.66,91
864.13,92.091
864.6,95.546
865.08,92.818
865.55,91.182
866.02,90.818
866.5,91.727
866.97,89.182
867.45,93.727
867.92,88.273
868.39,89
868.87,88.636
869.34,91.182
869.81,89.909
870.28,89
870.76,87.545
871.23,85.182
871.7,89.546
872.18,89.182
872.65,91
873.12,87
873.59,82.818
874.07,88.636
874.54,87
875.01,85
875.49,85
875.96,86.273
876.43,86.273
876.9,85.727
877.38,83
877.85,86.273
878.32,85.909
878.79,84.454
879.27,84.818
879.74,83.909
880.21,82.273
880.68,80.454
881.15,84.636
881.63,77
882.1,82.636
882.57,82.273
883.04,83.364
883.52,78.091
883.99,81.182
884.46,78.273
884.93,76.273
885.4,83
885.88,80.818
886.35,77.727
886.82,78.273
887.29,74.454
887.76,78.091
888.24,77.182
888.71,78.273
889.18,82.091
889.65,77.364
890.12,75
890.59,79.909
891.07,77.727
891.54,76.636
892.01,77.545
892.48,80.454
892.95,80.273
893.42,75.364
893.89,77.546
894.37,79
894.84,75.546
895.31,83.909
895.78,77.182
896.25,77.727
896.72,72.818
897.19,76.273
897.66,77.364
898.13,79.909
898.61,74.273
899.08,78.818
899.55,77.909
900.02,78.091
900.49,75.182
900.96,76.091
901.43,79.364
901.9,75
902.37,72.091
902.84,79.727
903.31,80.818
903.78,79.182
904.26,76.818
904.73,75.182
905.2,75.909
905.67,75.909
906.14,78.818
906.61,73.909
907.08,75
907.55,79
908.02,81.182
908.49,81.182
908.96,78.273
909.43,76.636
909.9,77.909
910.37,74.273
910.84,75.364
911.31,77
911.78,73
912.25,79.727
912.72,75.909
913.19,76.454
913.66,79.727
914.13,78.091
914.6,76.455
915.07,79.182
915.54,77.364
916.01,77.546
916.48,77
916.95,73.727
917.42,77.545
917.89,78.818
918.36,76.091
918.83,75.182
919.29,74.636
919.76,79.364
920.23,73.909
920.7,76.636
921.17,74.273
921.64,74.273
922.11,78.636
922.58,78.273
923.05,75.546
923.52,78.636
923.99,78.636
924.46,73
924.92,74.454
925.39,76.273
925.86,77
926.33,70.818
926.8,77.182
927.27,74.273
927.74,73.909
928.21,73.546
928.68,75.727
929.14,75
929.61,74.091
930.08,75.364
