raman_shift, int
cm^-1, a.u.
850.38,81.182
850.86,78.455
851.33,79.727
851.81,77.727
852.28,75.909
852.76,77.182
853.23,79.182
853.7,81.182
854.18,80.273
854.65,74.454
855.13,82.636
855.6,80.091
856.08,84.818
856.55,79.182
857.02,89
857.5,78.273
857.97,83
858.45,78.454
858.92,82.273
859.39,79.546
859.87,87.182
860.34,82.818
860.82,77.182
861.29,78.818
861.76,84.273
862.24,80.818
862.71,83.364
863.18,83.909
863.66,83.364
864.13,79.182
864.6,77.909
865.08,83.546
865.55,82.455
866.02,76.636
866.5,79.727
866.97,79.546
867.45,79.182
867.92,76.818
868.39,79.182
868.87,78.455
869.34,77.909
869.81,78.091
870.28,74.636
870.76,76.454
871.23,74.273
871.7,79.909
872.18,74.273
872.65,75.727
873.12,73.909
873.59,73
874.07,75.727
874.54,75.364
875.01,70.818
875.49,73.727
875.96,74.454
876.43,74.273
876.9,72.454
877.38,73.364
877.85,72.273
878.32,69.545
878.79,70.636
879.27,73.182
879.74,70.636
880.21,70.273
880.68,72.636
881.15,72.636
881.63,70.454
882.1,68.273
882.57,72.636
883.04,72.273
883.52,70.273
883.99,72.818
884.46,67
884.93,68.454
885.4,66.636
885.88,70.454
886.35,67.909
886.82,70.818
887.29,69.182
887.76,67.545
888.24,68.091
888.71,69.727
889.18,63.727
889.65,68.273
890.12,63.909
890.59,66.818
891.07,67.546
891.54,68.273
892.01,71.727
892.48,65.364
892.95,61.364
893.42,68.636
893.89,67.909
894.37,63.364
894.84,66.636
895.31,63.909
895.78,65.182
896.25,67.909
896.72,63.182
897.19,66.636
897.66,61.909
898.13,66.818
898.61,69.364
899.08,67
899.55,68.454
900.02,66.455
900.49,67.546
900.96,68.273
901.43,68.273
901.9,67
902.37,63.364
902.84,67.546
903.31,67.364
903.78,64.818
904.26,67.727
904.73,69.546
905.2,64.091
905.67,66.636
906.14,63.909
906.61,66.636
907.08,67.727
907.55,64.273
908.02,67.909
908.49,64.273
908.96,65.909
909.43,66.636
909.9,65
910.37,68.455
910.84,66.091
911.31,65.182
911.78,67
912.25,65
912.72,67.727
913.19,66.818
913.66,71.909
914.13,64.636
914.6,68.818
915.07,65.182
915.54,69.364
916.01,67.727
916.48,63.909
916.95,66.818
917.42,65.909
917.89,65.727
918.36,64.273
918.83,65.546
919.29,61.909
919.76,68.454
920.23,69.546
920.7,66.454
921.17,69.182
921.64,65
922.11,66.091
922.58,64.273
923.05,66.818
923.52,63.545
923.99,64.455
924.46,65.182
924.92,65.546
925.39,63
925.86,64.091
926.33,65.727
926.8,61
927.27,63.727
927.74,63.364
928.21,65.545
928.68,66.455
929.14,61.182
929.61,59.727
930.08,65
930.55,62.636
931.02,65.182
931.49,61.545
931.96,64.636
932.42,63.364
932.89,66.091
933.36,60.455
933.83,59.182
934.3,62.091
934.77,61.364
935.23,64.818
935.7,60.818
936.17,59.182
936.64,63.727
937.11,54.273
937.58,59.545
938.04,61.182
938.51,59.727
938.98,62.818
939.45,57.727
939.91,64.091
940.38,61.545
940.85,61.909
941.32,63.727
941.79,59.545
942.25,60.818
942.72,60.455
943.19,63.909
943.66,59.364
944.12,60.091
944.59,59.364
945.06,55.545
945.53,60.273
946,60.455
946.46,58.818
946.93,61.545
947.4,57.182
947.86,57.364
948.33,58.636
948.8,60.091
949.26,62.273
949.73,55.545
950.2,58.818
950.67,59.727
951.13,58.636
951.6,57.364
952.07,59
952.53,62.091
953,58.273
953.47,55.727
953.93,58.091
954.4,58.636
954.87,59.545
955.33,58.818
955.8,56.273
956.27,58.636
956.74,60.273
957.2,55.545
957.67,58.818
958.13,59.727
958.6,57.364
959.07,53.727
959.53,56.818
960,59.182
960.47,59.364
960.93,59.727
961.4,57.909
961.87,56.091
962.33,54.091
962.8,58.273
963.26,61.727
963.73,53.182
964.2,55
964.66,58.091
965.13,61
965.59,58.273
966.06,57
966.52,55.364
966.99,60.091
967.46,56.455
967.92,59.545
968.39,57.909
968.86,57.727
969.32,55.909
969.78,58.273
970.25,58.818
970.72,55.909
971.18,57.727
971.65,51.909
972.11,57.545
972.58,53.364
973.04,59
973.51,54.818
973.98,57.727
974.44,51.364
974.9,53.727
975.37,51.182
975.84,56.091
976.3,55.727
976.77,56.455
977.23,56.636
977.7,55.727
978.16,56.636
978.63,50.818
979.09,55.545
979.56,51.727
980.02,56.091
980.49,51.545
980.95,51.727
981.41,53.545
981.88,54.455
982.35,58.636
982.81,57.364
983.27,54.818
983.74,54.455
984.2,55.545
984.67,52.636
985.13,52.273
985.6,53.545
986.06,57.364
986.52,55.909
986.99,55.545
987.45,55.364
987.92,56.091
988.38,54.455
988.85,54.091
989.31,56.273
989.78,53.727
990.24,56.636
990.7,50.455
991.17,53.727
991.63,54.091
992.1,53.182
992.56,56.636
993.02,52.455
993.49,54.273
993.95,54.273
994.41,56.455
994.88,57
995.34,53.545
995.8,52.455
996.27,53.909
996.73,53.364
997.2,53.364
997.66,53.182
998.12,57.545
998.59,54.636
999.05,55.727
999.51,51.727
999.98,55
1000.4,55.182
1000.9,51.364
1001.4,51.364
1001.8,51.909
1002.3,54.455
1002.8,54.091
1003.2,56.091
1003.7,55.364
1004.1,51.909
1004.6,53
1005.1,51.909
1005.5,53.364
1006,53.364
1006.5,54.818
1006.9,54.818
1007.4,56.273
1007.9,56.273
1008.3,53.182
1008.8,54.818
1009.2,52.636
1009.7,55.909
1010.2,59.364
1010.6,52.636
1011.1,50.455
1011.5,50.818
1012,60.273
1012.5,53.364
1012.9,56.818
1013.4,53.182
1013.9,52.273
1014.3,58.818
1014.8,57.727
1015.2,55.909
1015.7,54.091
1016.2,55
1016.6,54.636
1017.1,54.273
1017.6,55
1018,54.818
1018.5,55.909
1018.9,53.909
1019.4,53.727
1019.9,54.091
1020.3,54.273
1020.8,55.364
1021.2,55.909
1021.7,56.818
1022.2,54.636
1022.6,57.727
1023.1,53
1023.6,59.909
1024,55.364
1024.5,57.182
1025,57.909
1025.4,56.818
1025.9,59.364
1026.3,58.636
1026.8,57
1027.2,61.182
1027.7,57.364
1028.2,58.273
1028.6,60.636
1029.1,60.636
1029.6,63.727
1030,62.273
1030.5,60.636
1030.9,61
1031.4,61.182
1031.9,65.909
1032.3,66.636
1032.8,65.727
1033.2,68.454
1033.7,65.909
1034.2,64.818
1034.6,69.545
1035.1,68.273
1035.5,68.273
1036,68.636
1036.5,71
1036.9,69.182
1037.4,63.182
1037.8,73.727
1038.3,69.364
1038.8,71
1039.2,72.818
1039.7,68.818
1040.2,68.818
1040.6,69.546
1041.1,72.636
1041.5,72.091
1042,73.182
1042.5,69.182
1042.9,70.636
1043.4,72.455
1043.8,70.454
1044.3,71.909
1044.8,75.182
1045.2,76.273
1045.7,75
1046.1,77
1046.6,81.364
1047.1,79.545
1047.5,80.454
1048,82.636
1048.4,85.909
1048.9,87.182
1049.4,87.727
1049.8,92.818
1050.3,93
1050.7,100.64
1051.2,101
1051.7,109.18
1052.1,109.91
1052.6,115.36
1053,121.91
1053.5,128.64
1054,139.91
1054.4,142.09
1054.9,148.82
1055.3,166.27
1055.8,173.36
1056.2,180.27
1056.7,189.73
1057.2,198.46
1057.6,207.54
1058.1,220.82
1058.5,237
1059,241
1059.5,253.73
1059.9,266.09
1060.4,275.91
1060.8,288.82
1061.3,300.82
1061.8,307.91
1062.2,320.45
1062.7,330.82
1063.1,338.82
1063.6,347.55
1064,362.27
1064.5,365.73
1065,379.55
1065.4,385.36
1065.9,392.82
1066.3,385.55
1066.8,397.73
1067.2,405
1067.7,407.73
1068.2,394.64
1068.6,399.91
1069.1,404.64
1069.5,401.55
1070,394.09
1070.5,392.82
1070.9,394.45
1071.4,381
1071.8,376.27
1072.3,379.36
1072.8,372.27
1073.2,373.36
1073.7,354.09
1074.1,348.27
1074.6,347.73
1075,338.09
1075.5,322.09
1076,328.64
1076.4,306.82
1076.9,307.18
1077.3,289.73
1077.8,289.55
1078.2,265.36
1078.7,258.64
1079.2,249.73
1079.6,243
1080.1,241.54
1080.5,228.82
1081,219.18
1081.4,211.36
1081.9,199.73
1082.4,189
1082.8,186.64
1083.3,177.73
1083.7,174.09
1084.2,163.18
1084.6,160.64
1085.1,154.27
1085.6,148.46
1086,140.27
1086.5,135.73
1086.9,125.18
1087.4,123.91
1087.8,117.18
1088.3,114.64
1088.8,108.64
1089.2,107.18
1089.7,100.64
1090.1,101.36
1090.6,96.454
1091,90.091
1091.5,87.545
1092,84.273
1092.4,75.909
1092.9,80.454
1093.3,77.546
1093.8,70.091
1094.2,69.182
1094.7,73.546
1095.1,68.818
1095.6,65
1096.1,60.818
1096.5,62.273
1097,62.091
1097.4,57.727
1097.9,57.182
1098.3,56.818
1098.8,56.636
1099.2,59.545
1099.7,58.818
1100.2,54.818
1100.6,59
1101.1,54.273
1101.5,54.455
1102,52.636
1102.4,54.636
1102.9,52.091
1103.3,53.545
1103.8,51.727
1104.3,49.727
1104.7,47.909
1105.2,51.727
1105.6,51.909
1106.1,54.273
1106.5,47
1107,49.545
1107.5,49.364
1107.9,51.364
1108.4,48.273
1108.8,53.364
1109.3,45.182
1109.7,48.636
