raman_shift, int
cm^-1, a.u.
850.38,72.091
850.86,70.273
851.33,71.909
851.81,71
852.28,74.454
852.76,71
853.23,70.455
853.7,74.273
854.18,72.091
854.65,72.818
855.13,73.364
855.6,70.091
856.08,72.454
856.55,71.546
857.02,71.182
857.5,74.091
857.97,69.364
858.45,71.546
858.92,72.818
859.39,75
859.87,74.273
860.34,72.818
860.82,70.818
861.29,70.273
861.76,73
862.24,75
862.71,71.364
863.18,70.818
863.66,72.818
864.13,72.818
864.6,74.818
865.08,69.727
865.55,75.182
866.02,72.636
866.5,76.636
866.97,72.454
867.45,70.818
867.92,71
868.39,73.182
868.87,71.909
869.34,71.727
869.81,71.364
870.28,70.273
870.76,72.454
871.23,69.909
871.7,70.636
872.18,67.909
872.65,67.909
873.12,68.636
873.59,67.727
874.07,70.636
874.54,69.909
875.01,67.909
875.49,70.636
875.96,71.546
876.43,68.454
876.9,73.182
877.38,69
877.85,65.727
878.32,70.273
878.79,68.636
879.27,66.818
879.74,69.546
880.21,71.182
880.68,69.727
881.15,67.182
881.63,62.091
882.1,67.909
882.57,69.909
883.04,66.091
883.52,68.818
883.99,67.364
884.46,66.818
884.93,64.273
885.4,72.455
885.88,66.818
886.35,66.091
886.82,65.364
887.29,69
887.76,66.273
888.24,64.273
888.71,63.545
889.18,64.636
889.65,65.182
890.12,65.909
890.59,65.545
891.07,68.818
891.54,66.818
892.01,64.818
892.48,68.818
892.95,67.182
893.42,63.909
893.89,67.727
894.37,67
894.84,64.636
895.31,68.273
895.78,66.273
896.25,67.182
896.72,69.182
897.19,67.727
897.66,70.818
898.13,66.636
898.61,67.364
899.08,70.454
899.55,69.182
900.02,63.727
900.49,66.273
900.96,66.455
901.43,69.909
901.9,63.182
902.37,65.909
902.84,67.364
903.31,68.636
903.78,68.818
904.26,66.636
904.73,65.546
905.2,68.636
905.67,65.545
906.14,67.546
906.61,67.909
907.08,68.455
907.55,66.636
908.02,66.636
908.49,69.545
908.96,71.545
909.43,68.273
909.9,65.909
910.37,66.091
910.84,66.273
911.31,67
911.78,65.546
912.25,66.818
912.72,68.091
913.19,68.454
913.66,72.636
914.13,73.364
914.6,68.091
915.07,69.182
915.54,68.273
916.01,63.909
916.48,66.273
916.95,67.182
917.42,68.818
917.89,69.364
918.36,65.909
918.83,69.182
919.29,66.454
919.76,68.273
920.23,63.727
920.7,65.727
921.17,70.454
921.64,65.909
922.11,65.546
922.58,63.364
923.05,64.091
923.52,63.727
923.99,64.091
924.46,66.454
924.92,69.727
925.39,66.091
925.86,64.818
926.33,68.636
926.8,65.727
927.27,66.636
927.74,71
928.21,63.909
928.68,65.909
929.14,64.454
929.61,66.818
930.08,65.909
930.55,64.091
931.02,62.273
931.49,65.182
931.96,68.818
932.42,65
932.89,67.182
933.36,64.091
933.83,59.909
934.3,66.273
934.77,60.636
935.23,66.455
935.7,66.091
936.17,64.091
936.64,62.091
937.11,61.727
937.58,67.364
938.04,61
938.51,60.455
938.98,61.545
939.45,65.909
939.91,60.455
940.38,63.545
940.85,63.182
941.32,62.818
941.79,60.091
942.25,62.273
942.72,64.273
943.19,59
943.66,59.182
944.12,65.182
944.59,61.545
945.06,63.364
945.53,63.727
946,64.454
946.46,62.455
946.93,59.545
947.4,54.818
947.86,61.182
948.33,63.727
948.8,57.727
949.26,60.636
949.73,59.909
950.2,58.818
950.67,64.818
951.13,59
951.6,58.818
952.07,59.182
952.53,61.545
953,55.909
953.47,56.636
953.93,58.091
954.4,63.182
954.87,63
955.33,62.091
955.8,58.273
956.27,61.909
956.74,51.909
957.2,60.818
957.67,59.364
958.13,59.909
958.6,60.818
959.07,57.182
959.53,55.545
960,57.364
960.47,61.182
960.93,58.636
961.4,61
961.87,59
962.33,58.636
962.8,53.545
963.26,59.909
963.73,57
964.2,55.727
964.66,56.818
965.13,55
965.59,53.909
966.06,55.909
966.52,57.909
966.99,53
967.46,55.727
967.92,59.727
968.39,54.818
968.86,54.091
969.32,59.909
969.78,52.818
970.25,55.364
970.72,54.273
971.18,57.727
971.65,54.455
972.11,54.455
972.58,57.182
973.04,56.636
973.51,58.818
973.98,57.909
974.44,56.636
974.9,54.818
975.37,57
975.84,55.545
976.3,56.636
976.77,56.091
977.23,58.455
977.7,56.455
978.16,55.182
978.63,56.818
979.09,53
979.56,55.909
980.02,55.727
980.49,53.727
980.95,54.273
981.41,54.818
981.88,48.455
982.35,58.091
982.81,53
983.27,51.909
983.74,54.636
984.2,54.636
984.67,52.273
985.13,56.636
985.6,54.273
986.06,55.727
986.52,54.273
986.99,55
987.45,53
987.92,53.545
988.38,59.364
988.85,54.091
989.31,55.727
989.78,51.727
990.24,56.818
990.7,51.909
991.17,54.091
991.63,53.545
992.1,54.455
992.56,55.727
993.02,53
993.49,51.545
993.95,53.727
994.41,55.545
994.88,54.273
995.34,53.364
995.8,51.545
996.27,56.091
996.73,51
997.2,48.818
997.66,52.818
998.12,53.909
998.59,54.818
999.05,48.818
999.51,55.364
999.98,56.636
1000.4,53
1000.9,50.636
1001.4,54.091
1001.8,53
1002.3,57.545
1002.8,56.818
1003.2,53
1003.7,53.364
1004.1,54.636
1004.6,53.364
1005.1,54.091
1005.5,52.091
1006,52.636
1006.5,57
1006.9,54.273
1007.4,53.364
1007.9,55.727
1008.3,52.818
1008.8,52.636
1009.2,56.273
1009.7,51.727
1010.2,57.364
1010.6,52.273
1011.1,50.636
1011.5,53.182
1012,53.909
1012.5,52.091
1012.9,54.455
1013.4,53.545
1013.9,52.091
1014.3,51
1014.8,52.091
1015.2,52.455
1015.7,52.455
1016.2,56.636
1016.6,55.545
1017.1,54.636
1017.6,54.636
1018,54.636
1018.5,52.091
1018.9,53
1019.4,57.909
1019.9,55.364
1020.3,53.909
1020.8,54.091
1021.2,53.364
1021.7,53.727
1022.2,57
1022.6,58.636
1023.1,55
1023.6,55.545
1024,57.182
1024.5,59
1025,54.818
1025.4,55.727
1025.9,56.091
1026.3,59.545
1026.8,57.364
1027.2,55.909
1027.7,59.364
1028.2,60.273
1028.6,57.182
1029.1,58.455
1029.6,60.273
1030,55.727
1030.5,63.182
1030.9,59.182
1031.4,63.545
1031.9,61.545
1032.3,64.091
1032.8,60.273
1033.2,61.727
1033.7,64.273
1034.2,63.909
1034.6,60.818
1035.1,63.909
1035.5,62.273
1036,60.818
1036.5,65.545
1036.9,62.091
1037.4,67.546
1037.8,61.727
1038.3,66.273
1038.8,63.182
1039.2,67
1039.7,65.364
1040.2,63.909
1040.6,60.455
1041.1,63
1041.5,65.727
1042,60.818
1042.5,61.364
1042.9,64.273
1043.4,64.091
1043.8,65.909
1044.3,65
1044.8,63.182
1045.2,62.455
1045.7,65.546
1046.1,64.091
1046.6,61.182
1047.1,64.273
1047.5,66.091
1048,69.909
1048.4,69.909
1048.9,68.273
1049.4,69.909
1049.8,71
1050.3,72.818
1050.7,71
1051.2,79.546
1051.7,81.546
1052.1,80.636
1052.6,82.091
1053,87.364
1053.5,87.182
1054,97.727
1054.4,97.546
1054.9,104.27
1055.3,109
1055.8,119
1056.2,118.09
1056.7,123.91
1057.2,133.36
1057.6,139.18
1058.1,149.36
1058.5,148.27
1059,162.09
1059.5,165.18
1059.9,168.46
1060.4,175.91
1060.8,186.09
1061.3,196.82
1061.8,198.82
1062.2,205
1062.7,209.54
1063.1,215.91
1063.6,212.27
1064,222.09
1064.5,227.36
1065,233.54
1065.4,243.73
1065.9,248.64
1066.3,249.73
1066.8,250.82
1067.2,259.73
1067.7,267.36
1068.2,267.18
1068.6,271.73
1069.1,268.09
1069.5,275.18
1070,273.91
1070.5,267.73
1070.9,275.55
1071.4,277
1071.8,275.36
1072.3,280.45
1072.8,281.91
1073.2,277.91
1073.7,267
1074.1,270.45
1074.6,259.36
1075,269.36
1075.5,265.36
1076,261.73
1076.4,254.64
1076.9,257
1077.3,258.27
1077.8,244.82
1078.2,244.64
1078.7,242.46
1079.2,239.91
1079.6,237.54
1080.1,234.27
1080.5,224.27
1081,225.36
1081.4,211.36
1081.9,208.46
1082.4,202.82
1082.8,198.64
1083.3,195.36
1083.7,194.64
1084.2,182.64
1084.6,179.36
1085.1,173.91
1085.6,170.46
1086,163.73
1086.5,156.27
1086.9,154.27
1087.4,143.54
1087.8,142.46
1088.3,141.36
1088.8,138.27
1089.2,120.82
1089.7,118.82
1090.1,111.73
1090.6,108.64
1091,107.18
1091.5,103
1092,94.636
1092.4,86.455
1092.9,90.636
1093.3,82.818
1093.8,81.727
1094.2,77.546
1094.7,73.546
1095.1,68.636
1095.6,69.546
1096.1,66.818
1096.5,63.545
1097,62.091
1097.4,63
1097.9,59.182
1098.3,55.364
1098.8,54.818
1099.2,58.636
1099.7,52.636
1100.2,54.818
1100.6,54.091
1101.1,50.273
1101.5,49.364
1102,50.091
1102.4,52.455
1102.9,51.909
1103.3,50.273
1103.8,47.364
1104.3,46.455
1104.7,46.818
1105.2,50.091
1105.6,48.455
1106.1,47.727
1106.5,49.364
1107,44.636
1107.5,48.818
1107.9,43.727
1108.4,47
1108.8,47.545
1109.3,45.364
1109.7,49.727
1110.2,47.909
1110.6,46.273
1111.1,46.273
1111.5,47.545
1112,46.091
1112.5,45.545
1112.9,44.818
1113.4,44.636
1113.8,47
1114.3,49.909
1114.7,46.818
1115.2,47.182
1115.6,45.364
1116.1,43.545
1116.5,43.182
1117,47
1117.5,41.727
1117.9,45.182
1118.4,47.364
1118.8,46.091
1119.3,45.364
1119.7,44.455
1120.2,45.727
1120.6,41.545
1121.1,42.636
1121.5,39.727
1122,45
1122.5,46.091
1122.9,42.636
1123.4,44.636
1123.8,43.545
1124.3,49
1124.7,43.364
1125.2,47.182
1125.6,43.909
1126.1,47.182
1126.5,44.455
1127,45.727
1127.4,43.182
1127.9,43.727
1128.3,45.545
1128.8,44.455
1129.3,42.636
1129.7,43.909
1130.2,47.545
1130.6,41.727
1131.1,40.636
1131.5,45.727
1132,44.273
1132.4,45.182
1132.9,44.455
1133.3,43.909
1133.8,47.727
1134.2,45.545
1134.7,40.091
1135.2,41.727
1135.6,44.636
1136.1,41.545
1136.5,45.909
1137,45.727
1137.4,46.273
1137.9,42.636
1138.3,47.545
1138.8,40.636
1139.2,45.364
1139.7,44.091
1140.1,42.636
1140.6,44.091
1141,42.636
1141.5,40.636
1142,45.727
1142.4,42.636
1142.8,42.455
1143.3,44.091
1143.8,45.182
1144.2,44.636
1144.7,40.818
1145.1,47.727
1145.6,39.909
1146,42.091
1146.5,38.091
1146.9,39.545
1147.4,43.545
1147.8,42.818
1148.3,38.273
1148.7,45.182
1149.2,39.909
1149.6,42.636
1150.1,41.727
1150.5,40.273
1151,45
1151.4,42.636
1151.9,41
1152.3,41.364
1152.8,39
1153.2,42.818
1153.7,41
1154.2,40.091
1154.6,40.273
1155.1,36.818
1155.5,40.455
1156,43
1156.4,41.727
1156.9,42.273
1157.3,45.545
1157.8,41.364
1158.2,39.727
1158.7,40.818
1159.1,43.182
1159.6,41
1160,42.818
1160.5,39.909
1160.9,41.545
1161.4,38.091
1161.8,37.182
1162.3,42.636
1162.7,45.182
1163.2,42.818
1163.6,45.727
1164.1,38.091
1164.5,40.636
1165,41.545
1165.4,42.091
1165.9,41.545
1166.3,43
