raman_shift, int
cm^-1, a.u.
850.38,76.091
850.86,78.273
851.33,78.273
851.81,72.091
852.28,81
852.76,77.546
853.23,79.364
853.7,77.182
854.18,80.818
854.65,82.091
855.13,82.091
855.6,80.818
856.08,79.364
856.55,82.454
857.02,78.818
857.5,80.091
857.97,87.182
858.45,83.546
858.92,87
859.39,83.182
859.87,83.182
860.34,88.818
860.82,82.636
861.29,81.182
861.76,82.818
862.24,83.909
862.71,82.818
863.18,81.182
863.66,82.091
864.13,78.818
864.6,82.636
865.08,77.909
865.55,79.909
866.02,80.636
866.5,79.909
866.97,80.818
867.45,80.454
867.92,77.364
868.39,77
868.87,77.909
869.34,84.273
869.81,76.818
870.28,75.546
870.76,77.909
871.23,74.818
871.7,74.455
872.18,76.273
872.65,78.273
873.12,73.909
873.59,72.636
874.07,72.818
874.54,72.454
875.01,74.818
875.49,76.636
875.96,74.818
876.43,71.182
876.9,72.091
877.38,71.364
877.85,72.454
878.32,71.727
878.79,70.636
879.27,71.182
879.74,70.091
880.21,71.727
880.68,65.364
881.15,68.636
881.63,69.364
882.1,69.546
882.57,66.455
883.04,70.091
883.52,66.636
883.99,68.273
884.46,64.818
884.93,65.182
885.4,68.818
885.88,66.273
886.35,59.545
886.82,66.091
887.29,61.727
887.76,62.636
888.24,61.545
888.71,63.364
889.18,67.364
889.65,63.545
890.12,64.454
890.59,59.364
891.07,64.091
891.54,60.636
892.01,59
892.48,62.818
892.95,61.182
893.42,64.818
893.89,60.636
894.37,65
894.84,65.909
895.31,65.727
895.78,65.727
896.25,64.818
896.72,63.909
897.19,58.636
897.66,64.455
898.13,62.636
898.61,59.364
899.08,66.818
899.55,65.727
900.02,61.909
900.49,63.182
900.96,63.545
901.43,63.909
901.9,60.818
902.37,66.091
902.84,62.636
903.31,65.545
903.78,64.636
904.26,62.636
904.73,64.273
905.2,59.182
905.67,65.909
906.14,64.091
906.61,61.364
907.08,65
907.55,65.364
908.02,59.909
908.49,59.727
908.96,66.455
909.43,65.545
909.9,63.364
910.37,60.818
910.84,65.546
911.31,61.909
911.78,68.091
912.25,63.727
912.72,63.909
913.19,63.727
913.66,63.364
914.13,59.364
914.6,63.727
915.07,61.909
915.54,64.091
916.01,61.182
916.48,64.273
916.95,62.636
917.42,60.636
917.89,63
918.36,63.364
918.83,61
919.29,60.273
919.76,62.091
920.23,63
920.7,63.909
921.17,58.636
921.64,64.273
922.11,63.182
922.58,60.273
923.05,61.545
923.52,64.091
923.99,63.364
924.46,63
924.92,57.364
925.39,61
925.86,63
926.33,56.091
926.8,61.727
927.27,59.545
927.74,60.636
928.21,61.727
928.68,60.636
929.14,62.091
929.61,61.727
930.08,61.182
930.55,65
931.02,55.909
931.49,56.636
931.96,61.727
932.42,63.364
932.89,60.636
933.36,57.727
933.83,60.091
934.3,59
934.77,60.455
935.23,59.545
935.7,60.818
936.17,62.636
936.64,61.909
937.11,61.545
937.58,55.909
938.04,58.455
938.51,56.636
938.98,58.636
939.45,64.636
939.91,61.545
940.38,59.545
940.85,55.727
941.32,59.364
941.79,57.364
942.25,55.364
942.72,57
943.19,58.818
943.66,56.818
944.12,57.909
944.59,52.818
945.06,58.818
945.53,58.091
946,54.455
946.46,56.091
946.93,56.818
947.4,54.091
947.86,53.182
948.33,55.545
948.8,58.091
949.26,55.182
949.73,53
950.2,59
950.67,55
951.13,55.364
951.6,57
952.07,56.455
952.53,56.636
953,53.727
953.47,56.273
953.93,56.455
954.4,56.091
954.87,52.091
955.33,55.727
955.8,54.818
956.27,55.909
956.74,55
957.2,57.182
957.67,57.364
958.13,50.818
958.6,55
959.07,55.545
959.53,53.909
960,55.182
960.47,54.818
960.93,51.727
961.4,56.273
961.87,52.091
962.33,52.273
962.8,53.545
963.26,53
963.73,52.818
964.2,55.364
964.66,50.091
965.13,54.091
965.59,54.455
966.06,53.364
966.52,55.182
966.99,54.455
967.46,51.727
967.92,51.909
968.39,54.636
968.86,56.273
969.32,52.818
969.78,54.273
970.25,53.182
970.72,52.091
971.18,50.455
971.65,53.909
972.11,53
972.58,54.455
973.04,55
973.51,50.818
973.98,49.727
974.44,55.182
974.9,49.727
975.37,51.364
975.84,53.364
976.3,53.182
976.77,49.545
977.23,50.273
977.7,51.727
978.16,54.455
978.63,49.364
979.09,51.364
979.56,53.727
980.02,50.636
980.49,57.182
980.95,54.455
981.41,51
981.88,52.818
982.35,56.091
982.81,53.364
983.27,50.818
983.74,52.091
984.2,52.091
984.67,55.727
985.13,52.091
985.6,52.636
986.06,51.545
986.52,53.909
986.99,54.455
987.45,54.273
987.92,54.091
988.38,53.182
988.85,54.455
989.31,54.636
989.78,53.364
990.24,52.636
990.7,51.727
991.17,51.727
991.63,50.636
992.1,52.636
992.56,52.818
993.02,51.727
993.49,49
993.95,50.455
994.41,55.727
994.88,51.727
995.34,50.273
995.8,49.909
996.27,55.545
996.73,52.455
997.2,51.182
997.66,51.182
998.12,49
998.59,48.455
999.05,50.455
999.51,52.818
999.98,51.364
1000.4,53.182
1000.9,49.909
1001.4,52.455
1001.8,50.818
1002.3,51.364
1002.8,50.455
1003.2,52.273
1003.7,49.364
1004.1,49.727
1004.6,48.818
1005.1,48.455
1005.5,54.818
1006,55.727
1006.5,51.364
1006.9,53
1007.4,52.818
1007.9,53.727
1008.3,50.818
1008.8,51.364
1009.2,52.455
1009.7,53.909
1010.2,53
1010.6,52.455
1011.1,50.818
1011.5,52.273
1012,50.455
1012.5,52.636
1012.9,50.091
1013.4,54.273
1013.9,52.818
1014.3,50.091
1014.8,50.636
1015.2,51
1015.7,53.364
1016.2,51.364
1016.6,50.091
1017.1,53.182
1017.6,49.727
1018,51.364
1018.5,51.545
1018.9,52.455
1019.4,48.636
1019.9,53.909
1020.3,50.636
1020.8,53.727
1021.2,55.364
1021.7,55.909
1022.2,55.909
1022.6,53.182
1023.1,51
1023.6,51.727
1024,55.364
1024.5,50.273
1025,56.273
1025.4,54.636
1025.9,57
1026.3,56.455
1026.8,57.182
1027.2,57.364
1027.7,53
1028.2,57.545
1028.6,56.455
1029.1,57
1029.6,56.636
1030,57.909
1030.5,58.636
1030.9,57.364
1031.4,61.909
1031.9,61
1032.3,60.818
1032.8,58.818
1033.2,64.091
1033.7,63.727
1034.2,60.636
1034.6,61.182
1035.1,65.182
1035.5,61.364
1036,63.182
1036.5,63.364
1036.9,65.182
1037.4,64.818
1037.8,68.091
1038.3,66.454
1038.8,63.909
1039.2,65.727
1039.7,64.818
1040.2,64.636
1040.6,64.818
1041.1,69.727
1041.5,68.273
1042,68.091
1042.5,67.545
1042.9,71
1043.4,66.454
1043.8,67.546
1044.3,69.727
1044.8,65.727
1045.2,70.273
1045.7,69.546
1046.1,69.364
1046.6,71
1047.1,74.636
1047.5,73
1048,76.273
1048.4,80.455
1048.9,80.818
1049.4,84.818
1049.8,88.091
1050.3,86.636
1050.7,88.636
1051.2,99.546
1051.7,101.55
1052.1,106.27
1052.6,108.09
1053,115.55
1053.5,121.91
1054,128.82
1054.4,134.09
1054.9,143.18
1055.3,147.73
1055.8,156.09
1056.2,169.54
1056.7,178.46
1057.2,184.64
1057.6,198.82
1058.1,210.09
1058.5,221.54
1059,225.36
1059.5,231.91
1059.9,250.09
1060.4,258.64
1060.8,274.27
1061.3,278.09
1061.8,291.91
1062.2,305.73
1062.7,311
