raman_shift, int
cm^-1, a.u.
850.38,75.545
850.86,77.364
851.33,76.091
851.81,78.091
852.28,81.364
852.76,75.364
853.23,81.546
853.7,76.454
854.18,78.454
854.65,79.182
855.13,81.545
855.6,79.727
856.08,83.727
856.55,80.636
857.02,84.454
857.5,77
857.97,87
858.45,78.273
858.92,86.454
859.39,80.273
859.87,85.909
860.34,82.455
860.82,80.273
861.29,82.636
861.76,83.545
862.24,83.727
862.71,81.364
863.18,84.818
863.66,82.454
864.13,80.454
864.6,74.455
865.08,81.727
865.55,78.818
866.02,79.364
866.5,79.182
866.97,78.273
867.45,78.818
867.92,78.454
868.39,74.818
868.87,76.818
869.34,80.818
869.81,78.818
870.28,77.182
870.76,77.182
871.23,76.636
871.7,78.636
872.18,77.727
872.65,75
873.12,74.273
873.59,71
874.07,74.636
874.54,68.273
875.01,74.636
875.49,72.091
875.96,71.364
876.43,70.818
876.9,73.727
877.38,71.364
877.85,67.727
878.32,73
878.79,73.364
879.27,71.727
879.74,66.273
880.21,64.636
880.68,67.182
881.15,69
881.63,62.091
882.1,65.909
882.57,70.273
883.04,65
883.52,66.818
883.99,64.091
884.46,69.364
884.93,61.727
885.4,66.636
885.88,63
886.35,63.909
886.82,63.364
887.29,65
887.76,63
888.24,63.727
888.71,61.364
889.18,64.091
889.65,61.909
890.12,60.091
890.59,58.455
891.07,64.454
891.54,61.182
892.01,57.727
892.48,61.909
892.95,59.545
893.42,63.182
893.89,58.455
894.37,61.364
894.84,66.091
895.31,59.545
895.78,62.636
896.25,58.818
896.72,63.364
897.19,64.636
897.66,58.636
898.13,61.727
898.61,61.182
899.08,61.182
899.55,60.818
900.02,59.364
900.49,60.818
900.96,60.091
901.43,61
901.9,66.636
902.37,61.545
902.84,63.545
903.31,59.909
903.78,61
904.26,63.727
904.73,61.364
905.2,65.182
905.67,62.273
906.14,60.818
906.61,59.364
907.08,63.364
907.55,63.182
908.02,61
908.49,61.545
908.96,63.727
909.43,64.454
909.9,59.364
910.37,57.545
910.84,60.636
911.31,60.091
911.78,61.182
912.25,58.091
912.72,60.455
913.19,64.818
913.66,61.727
914.13,58.636
914.6,61.364
915.07,63
915.54,61.364
916.01,64.091
916.48,60.091
916.95,62.818
917.42,57.727
917.89,59.364
918.36,59
918.83,58.455
919.29,62.455
919.76,61.545
920.23,63.909
920.7,57
921.17,60.091
921.64,60.818
922.11,58.455
922.58,57.909
923.05,58.636
923.52,65.727
923.99,61.727
924.46,55.545
924.92,60.636
925.39,60.455
925.86,58.636
926.33,60.273
926.8,60.091
927.27,58.273
927.74,59.909
928.21,61.182
928.68,57.182
929.14,61.364
929.61,59
930.08,61.182
930.55,52.818
931.02,57.909
931.49,58.636
931.96,59.364
932.42,59.545
932.89,58.091
933.36,56.273
933.83,60.273
934.3,56.273
934.77,59.182
935.23,55
935.7,57.727
936.17,56.636
936.64,57.545
937.11,57.182
937.58,53.727
938.04,55.545
938.51,59.182
938.98,55.909
939.45,56.818
939.91,56.091
940.38,57.909
940.85,57
941.32,55.364
941.79,56.091
942.25,55.545
942.72,53
943.19,57.182
943.66,54.455
944.12,57.545
944.59,56.636
945.06,53.727
945.53,53.727
946,54.636
946.46,52.455
946.93,54.818
947.4,54.455
947.86,55.182
948.33,52.818
948.8,53.909
949.26,53.182
949.73,56.455
950.2,51.364
950.67,53.364
951.13,55
951.6,58.273
952.07,56.818
952.53,52.818
953,52.273
953.47,53.545
953.93,55.364
954.4,53.364
954.87,52.818
955.33,55.182
955.8,54.455
956.27,49.909
956.74,55.727
957.2,56.455
957.67,55.364
958.13,55.545
958.6,52.273
959.07,53.182
959.53,55.182
960,53.182
960.47,53.545
960.93,53.727
961.4,54.273
961.87,55.727
962.33,53.727
962.8,50.818
963.26,53.545
963.73,51
964.2,52.273
964.66,48.091
965.13,50.636
965.59,50.091
966.06,53.364
966.52,49.364
966.99,48.455
967.46,52.818
967.92,53
968.39,54.273
968.86,53.545
969.32,51.364
969.78,55
970.25,52.818
970.72,50.273
971.18,51.364
971.65,51.727
972.11,55.364
972.58,49.545
973.04,53.727
973.51,53.727
973.98,47.909
974.44,48.273
974.9,51.182
