raman_shift, int
cm^-1, a.u.
850.38,185.54
850.86,187.73
851.33,194.82
851.81,196.09
852.28,190.46
852.76,200.64
853.23,197
853.7,202.46
854.18,203.54
854.65,204.82
855.13,205.36
855.6,207.73
856.08,216.64
856.55,213
857.02,211.54
857.5,214.46
857.97,218.27
858.45,222.46
858.92,224.64
859.39,213.36
859.87,217
860.34,221.18
860.82,219.54
861.29,219.73
861.76,213.91
862.24,217.73
862.71,219.18
863.18,209.18
863.66,212.46
864.13,209
864.6,201.36
865.08,202.27
865.55,201.73
866.02,201.73
866.5,201.54
866.97,196.46
867.45,194.27
867.92,193.54
868.39,186.64
868.87,189.91
869.34,187.18
869.81,183.91
870.28,181.54
870.76,182.09
871.23,181
871.7,176.09
872.18,176.27
872.65,179.36
873.12,180.82
873.59,174.09
874.07,172.82
874.54,166.27
875.01,172.27
875.49,167.54
875.96,166.64
876.43,166.27
876.9,157.91
877.38,165.54
877.85,159.91
878.32,156.46
878.79,157.54
879.27,161.73
879.74,155.91
880.21,151
880.68,149.91
881.15,154.27
881.63,151.73
882.1,147.36
882.57,146.82
883.04,144.09
883.52,139.73
883.99,133
884.46,142.09
884.93,144.64
885.4,138.09
885.88,134.27
886.35,134.27
886.82,138.82
887.29,138.09
887.76,126.82
888.24,130.27
888.71,131.54
889.18,129.36
889.65,135.36
890.12,129.91
890.59,129.91
891.07,128.46
891.54,133.36
892.01,127.55
892.48,127.91
892.95,127.73
893.42,127.73
893.89,127.91
894.37,131.91
894.84,125.55
895.31,131.36
895.78,120.27
896.25,121
896.72,125.73
897.19,127.91
897.66,130.27
898.13,125
898.61,124.27
899.08,121.73
899.55,126.09
900.02,123.55
900.49,121.91
900.96,126.82
901.43,130.09
901.9,119.73
902.37,127.91
902.84,122.82
903.31,124.09
903.78,125.18
904.26,124.45
904.73,123
905.2,120.64
905.67,124.27
906.14,124.64
906.61,122.09
907.08,127.18
907.55,120.45
908.02,125.91
908.49,123.36
908.96,121.18
909.43,127.36
909.9,122.64
910.37,119.36
910.84,119.36
911.31,127.91
911.78,123
912.25,120.82
912.72,123.18
913.19,120.45
913.66,119.36
914.13,121.73
914.6,118.82
915.07,120.82
915.54,122.09
916.01,117.73
916.48,122.82
916.95,120.82
917.42,116.64
917.89,116.09
918.36,115.18
918.83,120.82
919.29,118.27
919.76,119
920.23,117
920.7,119.55
921.17,122.27
921.64,114.45
922.11,117.36
922.58,121
923.05,116.09
923.52,116.82
923.99,115.91
924.46,120.64
924.92,113.36
925.39,119.91
925.86,113.91
926.33,114.27
926.8,115
927.27,113.55
927.74,119
928.21,113.18
928.68,111.36
929.14,110.09
929.61,114.27
930.08,113
930.55,111.73
931.02,108.64
931.49,113.73
931.96,108.82
932.42,111.18
932.89,111.91
933.36,109.55
933.83,113.18
934.3,107.91
934.77,109.73
935.23,109.18
935.7,108.82
936.17,108.82
936.64,115.36
937.11,106.64
937.58,107.18
938.04,107.55
938.51,105
938.98,106.27
939.45,107.18
939.91,111
940.38,105
940.85,104.27
941.32,103.36
941.79,109.36
942.25,106.82
942.72,105
943.19,106.09
943.66,106.27
944.12,105.36
944.59,105.91
945.06,101
945.53,105.73
946,102.27
946.46,104.09
946.93,101.91
947.4,106.64
947.86,105
948.33,108.45
948.8,99.182
949.26,103.55
949.73,102.64
950.2,105.18
950.67,101
951.13,103.18
951.6,104.27
952.07,102.27
952.53,106.27
953,106.45
953.47,101.73
953.93,100.27
954.4,100.82
954.87,102.09
955.33,97
955.8,103
956.27,99.545
956.74,97
957.2,99.727
957.67,101.36
958.13,98.091
958.6,94.091
959.07,96.091
959.53,104.09
960,97.909
960.47,97.364
960.93,98.636
961.4,99.546
961.87,98.818
962.33,99.182
962.8,99.727
963.26,94.273
963.73,96.636
964.2,95.364
964.66,96.636
965.13,99.546
965.59,99.182
966.06,96.091
966.52,97.364
966.99,93.364
967.46,100.45
967.92,93
968.39,99.182
968.86,98.818
969.32,99
969.78,95.364
970.25,93
970.72,100.27
971.18,99.727
971.65,95.546
972.11,92.818
972.58,95.727
973.04,97.182
973.51,94.454
973.98,100.27
974.44,99.364
974.9,94.454
975.37,93.909
975.84,97
976.3,94.455
976.77,92.454
977.23,96.273
977.7,97.909
978.16,96.454
978.63,93.182
979.09,96.273
979.56,97.546
980.02,97.364
980.49,96.454
980.95,99.364
981.41,96.273
981.88,97.909
982.35,99.182
982.81,96.091
983.27,99.727
983.74,99
984.2,101.18
984.67,97.909
985.13,99.364
985.6,99.364
986.06,102.45
986.52,97
986.99,98.636
987.45,98.455
987.92,98.818
988.38,98.818
988.85,103.18
989.31,97.546
989.78,97
990.24,96.273
990.7,97.909
991.17,93.727
991.63,96.273
992.1,94.273
