Raman_Shift,Intensity
cm^-^1,a.u.
50.3223,227.632
50.8498,226.63
51.3773,227.786
51.9027,236.626
52.4302,234.467
52.9576,237.254
53.4829,242.2
54.0102,245.567
54.5376,251.512
55.0628,260.721
55.5901,268.772
56.1173,278.612
56.6424,288.769
57.1696,303.872
57.6946,317.818
58.2218,333.027
58.7489,359.341
59.2738,393.128
59.8009,403.126
60.3258,418.809
60.8528,432.913
61.3776,439.384
61.9045,443.33
62.4314,463.065
62.9562,480.379
63.483,491.43
64.0077,506.271
64.5345,527.742
65.0591,540.951
65.5858,564.107
66.1104,581.369
66.637,600.314
67.1615,633.418
67.6881,646.363
68.2126,657.099
68.7391,686.834
69.2635,702.043
69.79,719.199
70.3143,737.618
70.8408,765.248
71.365,787.878
71.8914,808.086
72.4156,813.927
72.9419,814.451
73.4661,832.766
73.9902,843.237
74.5164,853.183
75.0405,887.234
75.5666,890.548
76.0906,890.178
76.6167,875.229
77.1407,871.28
77.6646,869.172
78.1906,860.96
78.7144,857.59
79.2404,853.694
79.7642,854.113
80.288,853.901
80.8138,852.846
81.3375,854.424
81.8612,860.053
82.387,877.788
82.9106,884.997
83.4363,887.153
83.9599,888.625
84.4834,876.15
85.0091,872.148
85.5325,891.515
86.056,901.197
86.5815,914.353
87.1049,930.72
87.6283,945.876
88.1516,960.822
88.677,987.294
89.2003,1003.08
89.7235,1033.45
90.2488,1050.81
90.772,1048.5
91.2952,1051.02
91.8183,1034.49
92.3435,997.44
92.8666,984.859
93.3896,973.752
93.9126,962.329
94.4377,954.959
94.9607,943.747
95.4836,926.324
96.0065,929.743
96.5314,934.215
97.0543,935.003
97.5771,928.896
98.0998,932.999
98.6226,948.313
99.1474,953.575
99.6701,935.994
100.193,943.887
100.715,935.254
101.238,938.357
101.761,935.356
102.285,932.722
102.808,930.984
103.33,944.824
103.853,946.085
104.375,944.452
104.897,955.398
105.422,962.291
105.944,974.973
106.467,991.498
106.989,994.865
107.511,1005.18
108.033,997.598
108.555,1000.91
109.078,1018.91
109.6,1023.17
110.122,1028.22
110.646,1042.69
111.168,1042.43
111.69,1066.11
112.212,1076.53
112.734,1085.74
113.256,1106.79
113.778,1120.37
114.3,1118.79
114.821,1137.05
115.343,1155.68
115.865,1159.36
116.387,1168.83
116.909,1189.2
117.43,1205.62
117.952,1213.46
118.473,1210.72
118.995,1229.93
119.517,1235.93
120.038,1247.29
120.56,1263.45
121.081,1272.92
121.603,1300.29
122.124,1303.13
122.645,1337.5
123.167,1340.92
123.688,1364.7
124.209,1382.86
124.731,1407.23
125.252,1414.17
125.773,1442.54
126.292,1463.33
126.813,1500.64
127.335,1530.8
127.856,1563.79
128.377,1608.79
128.898,1639.32
129.419,1692.05
129.94,1735.58
130.461,1794.15
130.982,1849.47
131.5,1919.78
132.021,1996.25
132.542,2086.62
133.063,2168.99
133.584,2249.09
134.105,2344.46
134.625,2464.14
135.144,2563.61
135.664,2674.08
136.185,2798.03
136.706,2874.98
137.226,2967.45
137.745,3028.6
138.265,3089.92
138.786,3128.07
139.306,3135.7
139.827,3127.86
140.345,3119.65
140.865,3083.96
141.386,3033.28
141.906,3016.33
142.424,2950.8
142.944,2915.53
143.465,2865.74
143.985,2841.95
144.503,2817.21
145.023,2766.74
145.543,2758.52
146.063,2729.21
146.581,2718.15
147.101,2709.78
147.621,2711.04
148.139,2706.1
148.659,2692.2
149.179,2693.35
149.699,2698.62
150.217,2697.82
150.736,2699.3
151.256,2699.24
151.774,2667.61
152.294,2661.5
152.813,2651.71
153.331,2613.81
153.851,2595.71
154.368,2532.34
154.888,2482.65
155.407,2453.07
155.925,2372.54
156.444,2324.17
156.964,2272.91
157.481,2227.33
158,2175.01
158.518,2141.01
159.037,2095.64
159.556,2071.58
160.074,2038.27
160.593,2003
161.11,1968.79
161.629,1932.21
162.146,1883.26
162.665,1853.94
163.182,1775.99
163.701,1724.41
164.221,1677.04
164.737,1612.83
165.257,1563.3
165.773,1490.19
166.292,1440.98
166.809,1392.45
167.328,1319.56
167.845,1288.56
168.364,1239.97
168.88,1206.6
