Raman_Shift,Intensity
cm^-^1,a.u.
850.383,79.9091
850.858,81.3636
851.332,85.3636
851.807,83.7273
852.281,83.3636
852.756,80.0909
853.23,81.1818
853.703,83.3636
854.179,79.9091
854.652,84.8182
855.128,82.4545
855.601,79.1818
856.076,85.3636
856.55,82.8182
857.023,80.8182
857.498,86.4545
857.971,84.0909
858.447,84.0909
858.92,83.1818
859.393,85.7273
859.868,85.7273
860.341,86.2727
860.816,82.8182
861.289,79.9091
861.762,83.3636
862.237,86.8182
862.71,80.8182
863.183,79
863.658,83.1818
864.131,83.3636
864.604,83
865.079,85.1818
865.552,83.9091
866.024,86.2727
866.499,83.5455
866.972,83.1818
867.445,81.9091
867.917,81
868.392,81.1818
868.865,80.2727
869.337,82.4546
869.812,80.8182
870.285,79
870.757,80.6364
871.23,75.7273
871.704,77.9091
872.177,81.1818
872.649,82.2727
873.122,79.5455
873.594,79.7273
874.068,77.3636
874.541,73.9091
875.013,73.1818
875.485,75.9091
875.96,80.8182
876.432,76.2727
876.904,76.4545
877.376,73
877.849,77.5454
878.321,73.9091
878.795,72.6364
879.267,73.9091
879.739,74.2727
880.211,75.5454
880.683,74.4545
881.155,72.6364
881.629,72.6364
882.101,72.4545
882.573,73.9091
883.045,71.9091
883.517,66.2727
883.989,71.9091
884.461,73
884.933,74.2727
885.404,68.4546
885.876,73.7273
886.35,72.0909
886.822,71.9091
887.293,74.8182
887.765,65.5454
888.237,70.4545
888.708,72.0909
889.18,71.9091
889.651,72.6364
890.123,69
890.594,67.5454
891.066,69.3636
891.537,69.7273
892.009,71.1818
892.48,70.0909
892.952,71.3636
893.423,67.7273
893.894,66.4545
894.366,71.9091
894.837,69
895.308,67.3636
895.78,71
896.251,70.0909
896.722,71.3636
897.193,71.9091
897.664,72.6364
898.135,73.5455
898.607,67
899.078,71.5454
899.549,65.7273
900.02,65.1818
900.489,69.5455
900.96,63.3636
901.431,65.7273
901.902,69.3636
902.373,68.6364
902.843,70.4545
903.314,66.4545
903.785,67.9091
904.256,70.2727
904.725,71.1818
905.195,68.4545
905.666,72.6364
906.137,69.3636
906.608,68.0909
907.078,71.1818
907.549,71
908.018,65.3636
908.488,69.9091
908.959,72.0909
909.429,67
909.9,71.5454
910.368,67.3636
910.839,69
911.309,67.7273
911.78,70.0909
912.25,70.0909
912.718,72.2727
913.189,67.1818
913.659,72.4546
914.129,68.6364
914.598,72.0909
915.068,68.2727
915.538,67.5455
916.008,68.2727
916.477,66.2727
916.947,73
917.417,67.7273
917.887,70.2727
918.355,73.3636
918.825,71.5455
919.295,67.3636
919.763,66.8182
920.233,68.8182
920.703,68.8182
921.171,68.4545
921.641,65.5455
922.111,67.1818
922.579,71.1818
923.048,67.5455
923.518,67.1818
923.986,68.8182
924.456,68.0909
924.925,63.1818
925.393,70.2727
925.863,71.9091
926.333,68.6364
926.8,65.3636
927.27,62.2727
927.737,70.6364
928.207,59.7273
928.676,71
929.144,66.0909
929.613,67.7273
930.081,69
930.55,67.5455
931.018,66.6364
931.487,68.8182
931.957,68.2727
932.424,63.7273
932.893,67.1818
933.361,67.3636
933.83,66.0909
934.297,68.8182
934.766,67
935.234,66.0909
935.703,59.7273
936.17,65.7273
936.639,63.1818
937.106,62.4545
937.575,66.4546
938.042,63.1818
938.511,66.0909
938.978,67.3636
939.447,65.3636
939.914,65.3636
940.383,64.6364
940.85,61.3636
941.317,65
941.786,59.9091
942.253,63.5455
942.721,64.4545
943.188,66.4545
943.657,60.0909
944.124,57.9091
944.591,62.2727
945.059,60.4545
945.526,59.1818
945.995,58.0909
946.461,66.0909
946.928,63
947.396,64.2727
947.863,61.3636
948.329,60.6364
948.798,61.7273
949.264,66.4546
949.733,59.9091
950.199,62.2727
950.666,62.6364
951.134,59.3636
951.6,63.7273
952.067,61.5455
952.533,61.5455
953.001,58.2727
953.468,62.4545
953.934,59.1818
954.402,59
954.868,61.7273
955.334,58.2727
955.802,61
956.269,60.6364
956.735,57.3636
957.201,61
957.669,57.5455
958.135,59.5455
958.601,59.1818
959.067,57.3636
959.535,58.2727
960.001,56.6364
960.467,59.3636
960.932,60.4545
961.398,62.0909
961.866,61.5455
962.332,58.8182
962.798,63.3636
963.263,58.4545
963.729,61
964.197,57.7273
964.663,56.8182
965.128,57.3636
965.594,57.9091
966.059,58.0909
966.525,58.0909
966.991,60.8182
967.458,60.2727
967.924,55.9091
968.389,60.2727
968.855,54.4545
969.32,56.4545
969.785,58.6364
970.251,55.3636
970.716,57.5455
971.182,59
971.649,52.8182
972.114,56.4545
972.579,59
973.045,56.0909
973.51,55
973.975,57.9091
974.44,55.9091
974.905,55.7273
975.371,56.6364
975.836,54.4545
976.301,56.4545
976.766,54.4545
977.231,54.8182
977.696,56.4545
978.161,53.9091
978.626,58.8182
979.091,54.0909
979.556,55.3636
980.021,55.1818
980.485,58.0909
980.95,58.6364
981.415,60.4545
981.88,55.5455
982.345,56.8182
982.809,56.4545
983.274,55.9091
983.739,55.7273
984.203,55.9091
984.668,57.7273
985.133,61.1818
985.597,58.4545
986.06,55.3636
986.525,54.2727
986.989,58.6364
987.454,59
987.918,56.4545
988.383,56.6364
988.847,57.1818
989.311,60.4545
989.776,54.8182
990.238,51.9091
990.703,58.8182
991.167,58.4545
991.631,54.4545
992.095,55.7273
992.56,57.1818
993.024,59.1818
993.486,54.6364
993.95,51.9091
994.414,56.4545
994.878,57
995.343,54.2727
995.805,55.9091
996.269,57.7273
996.733,54.4545
997.197,61.3636
997.661,51.1818
998.123,52.8182
998.587,53.9091
999.051,55
999.514,56.4545
999.976,57.3636
1000.44,56.4545
1000.9,53.9091
1001.37,55.7273
1001.83,53.9091
1002.29,55.7273
1002.76,55
1003.22,52.2727
1003.68,57.9091
1004.15,52.0909
1004.61,56.0909
1005.07,54.6364
1005.53,54.0909
1006,54.8182
1006.46,55.5455
1006.92,58.6364
1007.39,55.9091
1007.85,54.8182
1008.31,55
1008.77,59.1818
1009.24,53.7273
1009.7,60.0909
