Raman_Shift,Intensity
cm^-^1,a.u.
68.7197,711.723
69.2462,730.77
69.7705,757.501
70.2969,782.337
70.8212,808.595
71.3475,829.642
71.8717,819.004
72.3959,795.314
72.9221,782.572
73.4463,797.776
73.9725,813.086
74.4965,850.765
75.0227,869.18
75.5467,836.542
76.0706,801.694
76.5967,770.372
77.1206,743.471
77.6466,742.097
78.1704,734.407
78.6943,724.979
79.2202,713.342
79.7439,722.546
80.2698,724.645
80.7935,742.481
81.3172,753.685
81.8429,785.889
82.3665,830.041
82.8901,834.403
83.4158,806.712
83.9393,769.706
84.4628,731.857
84.9884,714.324
85.5118,703.739
86.0352,701.416
86.5608,695.673
87.0841,692.613
87.6074,693.343
88.1328,686.916
88.6561,685.593
89.1793,696.06
89.7047,720.527
90.2278,747.204
90.751,781.04
91.2741,761.98
91.7993,743.342
92.3223,726.966
92.8454,722.433
93.3683,723.847
93.8934,735.577
94.4164,734.096
94.9393,720.089
95.4622,708.134
95.9871,694.864
96.5099,691.33
97.0327,684.06
97.5555,680.842
98.0782,696.677
98.6031,719.143
99.1257,715.294
99.6484,710.339
100.171,690.016
100.694,689.271
101.216,671.843
101.741,669.099
102.263,662.196
102.786,659.136
103.308,663.497
103.831,667.015
104.353,669.692
104.875,692.631
105.4,719.466
105.922,719.248
106.444,735.082
106.967,728.074
107.489,701.75
108.011,673.374
108.533,655.103
109.055,630.253
109.577,626.455
110.101,616.448
110.623,623.44
111.145,627.116
111.667,627.476
112.189,619.099
112.711,630.407
113.233,641.767
113.755,654.18
114.277,661.593
114.799,668.374
115.32,669.786
115.842,658.515
116.364,665.507
116.886,664.077
117.407,660.279
117.929,654.587
118.45,645.157
118.972,641.885
119.493,632.771
120.015,630.921
120.536,631.702
121.058,636.64
121.579,651.105
122.101,667.676
122.622,670.193
123.143,658.605
123.665,645.281
124.186,638.798
124.707,615.421
125.228,612.307
125.75,612.193
126.269,616.341
126.79,611.385
127.311,623.429
127.832,636.525
128.353,637.779
128.874,639.296
129.395,639.761
129.916,638.331
130.437,646.322
130.956,642.049
131.476,635.513
131.997,625.82
132.518,618.232
133.039,613.538
133.56,619.213
134.08,628.309
134.599,620.878
135.12,618.658
135.64,619.07
136.161,621.218
136.681,620.735
137.202,638.199
137.72,644.4
138.241,652.232
138.761,657.012
139.282,652.16
139.8,650.835
140.32,634.299
140.841,634.184
141.361,621.49
141.881,612.953
142.399,609.628
142.92,624.039
143.44,627.082
143.96,612.914
144.478,615.588
144.998,619.578
145.518,619.042
146.036,629.768
146.556,629.653
147.076,625.695
147.596,617.475
148.114,617.359
148.634,616.717
149.154,612.128
149.671,605.433
150.191,615.265
150.711,612.413
151.229,610.718
151.748,605.76
152.268,617.698
152.786,615.739
153.305,624.097
153.825,608.666
154.342,617.603
154.862,618.75
155.379,617.476
155.899,604.992
156.418,602.56
156.936,604.391
157.455,603.749
