Raman_Shift,Intensity
cm^-^1,a.u.
1034.63,421.842
1035.09,433.737
1035.55,422.368
1036.01,428.158
1036.47,431.842
1036.93,433.526
1037.39,425.632
1037.85,420.158
1038.31,434.158
1038.77,428.895
1039.23,418.789
1039.7,420.263
1040.16,422.263
1040.62,419.842
1041.08,419.526
1041.54,419.105
1042,416.053
1042.46,410.789
1042.92,416.474
1043.38,420.158
1043.84,415.947
1044.3,417.316
1044.76,415.526
1045.22,416.368
1045.68,423.842
1046.14,431.947
1046.6,431.316
1047.06,434.158
1047.52,436.684
1047.98,439.526
1048.44,449.526
1048.9,452.79
1049.36,458.579
1049.81,463.526
1050.27,472.368
1050.73,491.105
1051.19,500.579
1051.65,515.21
1052.11,529
1052.57,541.105
1053.03,556.053
1053.49,582.053
1053.95,595.632
1054.41,613
1054.87,641.316
1055.33,665.842
1055.79,696.053
1056.24,738.895
1056.7,763.842
1057.16,789.105
1057.62,824.368
1058.08,862.579
1058.54,902.158
1059,937.211
1059.46,1000.05
1059.92,1050.37
1060.38,1112.89
1060.84,1160.16
1061.29,1219
1061.75,1262.58
1062.21,1322.26
1062.67,1384.05
1063.13,1438.26
1063.59,1512.37
1064.05,1575.32
1064.5,1654.37
1064.96,1726.05
1065.42,1778.47
1065.88,1854.68
1066.34,1900.26
1066.8,1959.95
1067.25,2015.21
1067.71,2091
1068.17,2140.37
1068.63,2202.05
1069.09,2252.26
1069.55,2303.74
1070,2352.16
1070.46,2400.16
1070.92,2455.84
1071.38,2485.74
1071.83,2530.89
1072.29,2564.79
1072.75,2601.32
1073.21,2615.63
1073.67,2650.79
1074.12,2693.63
1074.58,2702.47
1075.04,2713.74
1075.5,2721.74
1075.96,2720.58
1076.41,2751.42
1076.87,2759.11
1077.33,2755.63
1077.79,2753
1078.24,2772.16
1078.7,2749.84
1079.16,2741.84
1079.61,2699
1080.07,2699
1080.53,2654.68
1080.99,2649.42
1081.44,2601.53
1081.9,2590.89
1082.36,2490.37
1082.81,2437.74
1083.27,2449.84
1083.73,2403.32
1084.19,2365.42
1084.64,2326.68
1085.1,2259.84
1085.56,2197.11
1086.01,2167.21
1086.47,2113.53
1086.93,2070.68
1087.38,2002.89
1087.84,1964.05
1088.3,1923.63
1088.75,1860.68
1089.21,1810.58
1089.67,1759.53
1090.12,1700.68
1090.58,1651.32
1091.04,1615.32
1091.49,1575.84
1091.95,1525
1092.41,1484.58
1092.86,1451.11
1093.32,1395.53
1093.78,1358.37
1094.23,1295.63
1094.69,1261.84
1095.14,1225.32
1095.6,1172.05
1096.06,1129.63
1096.51,1070.37
1096.97,1021.11
1097.43,984.368
1097.88,935.421
1098.34,885.947
1098.79,853.211
1099.25,807.316
1099.7,774.158
1100.16,737.211
1100.61,710.684
1101.07,672.579
1101.53,650.579
1101.98,628.053
1102.44,600.158
1102.89,580.368
1103.35,571.316
1103.81,538.684
1104.26,532.579
1104.72,515.211
1105.17,497.316
1105.63,485
1106.08,476.368
1106.54,464.895
1106.99,451.842
1107.45,450.053
1107.9,435.211
1108.36,435.421
1108.81,425.316
1109.27,420.579
1109.72,412.474
1110.18,408.684
1110.63,402.579
1111.09,398.368
1111.54,400.895
1112,395.842
1112.45,395.211
1112.91,389.316
1113.36,389.737
1113.82,388.579
1114.27,394.368
1114.73,386.474
1115.18,392.158
1115.64,391.421
1116.09,389.632
1116.54,391.105
1117,396.474
1117.45,400.158
1117.91,393.526
1118.36,395.737
1118.82,398.368
1119.27,401.947
1119.73,396.789
1120.18,404.895
1120.64,404.158
1121.09,401.842
1121.54,401.211
1122,402.053
1122.45,391.632
1122.91,396.895
1123.36,398.053
1123.81,392.474
1124.27,391.21
1124.72,389.526
1125.18,389.632
1125.63,389.842
1126.08,385
1126.54,381.842
1126.99,387.211
1127.44,379.842
1127.9,381.947
1128.35,379.947
1128.8,371.842
1129.26,374.158
1129.71,370.895
1130.17,372.474
1130.62,371.421
1131.07,371.526
1131.53,363.842
1131.98,363.526
1132.43,363.211
1132.89,360.684
1133.34,358.158
1133.79,359.842
1134.25,351.947
1134.7,351.842
1135.15,346.474
1135.61,348.053
1136.06,346.263
1136.51,340.263
1136.96,340.158
1137.42,336.474
1137.87,342.368
1138.32,334.263
