Raman_Shift,Intensity
cm^-^1,a.u.
77.6701,291.012
78.1961,287.053
78.7199,291.894
79.2437,293.035
79.7696,288.176
80.2933,284.567
80.8191,282.608
81.3428,286.149
81.8664,290.89
82.3922,299.731
82.9158,310.522
83.4393,300.663
83.965,288.054
84.4885,275.645
85.0119,277.636
85.5375,282.027
86.0609,275.768
86.5843,277.31
87.1097,270.201
87.633,272.042
88.1563,271.633
88.6796,270.324
89.2049,271.065
89.7281,273.206
90.2513,284.098
90.7766,290.439
91.2997,288.33
91.8228,286.021
92.3458,277.412
92.871,280.103
93.394,282.444
93.9169,285.536
94.4398,287.977
94.9649,282.518
95.4878,281.659
96.0106,274.6
96.5334,284.192
97.0562,275.483
97.5811,273.674
98.1038,281.815
98.6265,287.107
99.1492,287.498
99.6718,291.989
100.197,281.73
100.719,284.921
101.242,282.863
101.764,283.154
102.287,282.195
102.809,283.687
103.334,280.678
103.856,269.419
104.379,277.56
104.901,277.252
105.423,290.343
105.945,293.584
106.468,298.526
106.992,298.517
107.514,285.658
108.036,273.199
108.559,274.941
109.081,270.682
109.603,277.924
110.125,270.115
110.647,279.956
111.169,280.048
111.691,282.539
112.213,280.531
112.735,279.472
113.257,279.963
113.778,284.255
114.302,292.296
114.824,293.887
115.346,299.579
115.868,293.12
116.389,297.411
116.911,299.553
117.433,295.644
117.954,296.036
118.476,295.577
118.997,292.569
119.519,296.16
120.041,302.052
120.562,303.093
121.083,299.885
121.605,302.576
122.124,307.918
122.645,312.709
123.167,316.651
123.688,308.392
124.209,311.334
124.731,309.825
125.252,311.217
125.773,311.158
126.294,316.45
126.815,314.841
127.336,319.983
127.857,315.924
128.378,324.416
128.897,326.858
129.418,328.649
129.939,329.791
130.46,335.182
130.981,336.024
131.502,339.915
132.023,333.357
132.544,344.148
133.062,342.54
133.583,347.182
134.104,347.873
134.624,346.415
135.145,353.207
135.666,359.648
136.184,359.64
136.705,362.932
137.225,360.823
137.746,363.765
138.266,372.056
138.785,377.048
139.305,378.84
139.825,374.332
140.346,373.773
140.866,371.715
141.384,371.007
141.905,374.648
142.425,370.79
142.945,381.432
143.463,374.074
143.983,376.565
144.503,373.857
145.023,382.248
145.541,379.09
146.062,383.432
146.582,384.624
147.099,381.066
147.619,379.857
148.139,385.299
148.657,382.841
149.177,385.783
149.697,379.475
150.217,382.516
150.734,372.708
151.254,380.55
151.774,383.992
152.291,385.633
152.811,384.075
153.329,385.717
153.848,379.609
154.368,375.601
154.885,383.293
155.405,371.134
155.924,373.976
156.442,370.418
156.961,363.86
157.478,367.952
157.998,367.494
158.517,366.636
159.034,365.028
159.554,366.62
160.071,369.862
160.59,370.103
161.109,361.945
161.626,367.887
162.145,362.679
162.662,361.471
163.181,355.463
163.698,361.805
164.217,357.397
164.734,357.339
165.253,349.131
165.77,355.623
166.289,353.865
166.806,354.107
167.325,356.749
167.841,347.841
168.36,347.883
168.877,355.625
169.396,341.467
169.912,343.609
170.431,344.351
170.947,351.643
171.466,340.535
171.983,343.877
172.501,343.969
173.018,344.861
173.536,339.253
174.052,344.995
174.569,342.737
175.087,346.029
175.604,338.721
176.122,344.563
176.638,338.605
177.154,343.348
177.673,337.139
178.189,340.032
178.707,332.674
179.223,336.716
179.739,338.208
180.257,335.35
180.773,332.292
181.289,333.284
181.807,333.576
182.323,331.118
182.839,325.211
183.357,328.003
183.873,325.245
184.389,326.337
184.907,320.329
185.422,320.721
185.938,318.214
186.456,317.056
186.971,314.198
187.487,311.84
188.005,312.532
188.52,312.175
189.036,308.667
189.551,311.959
190.069,306.501
190.585,304.193
191.1,298.636
191.617,298.228
192.133,299.07
192.648,302.163
193.163,295.305
193.679,296.997
194.196,293.289
194.711,291.932
195.227,293.374
195.742,287.866
196.259,288.208
196.774,285.051
197.289,287.843
197.804,289.285
198.319,288.028
198.834,284.32
199.351,278.812
199.866,280.055
200.381,282.897
200.896,278.539
201.411,275.782
201.926,271.574
202.443,277.416
202.957,276.759
203.472,268.301
203.987,271.444
204.502,265.086
205.016,272.128
205.531,263.821
206.045,261.063
206.56,262.406
207.077,263.948
207.591,261.74
208.106,258.983
208.62,259.025
209.135,252.218
209.649,259.61
210.163,252.753
210.678,251.045
211.192,248.388
211.706,247.88
212.221,252.723
212.735,242.565
213.249,244.957
213.763,239.1
214.277,239.892
214.791,234.135
215.305,240.777
215.82,235.82
216.334,235.012
216.848,235.155
217.362,235.898
217.876,232.74
218.389,230.083
218.903,228.275
219.417,227.768
219.931,221.06
220.445,227.103
220.959,224.495
221.472,224.638
221.986,218.68
222.5,215.39
223.013,213.949
223.527,210.058
224.041,214.667
224.552,210.877
225.066,211.386
225.579,203.029
226.093,211.021
226.606,206.014
227.12,199.006
227.633,204.849
228.146,199.392
228.66,197.134
229.171,191.477
229.684,194.67
230.197,196.912
230.711,192.605
231.224,185.998
231.737,190.69
232.248,183.933
232.761,184.576
233.274,177.519
233.787,179.411
234.3,179.654
234.813,180.397
235.324,175.889
235.837,172.182
236.35,173.625
236.863,173.318
237.374,172.911
237.887,172.103
238.399,173.646
238.912,170.739
239.423,168.882
239.936,160.474
240.448,164.367
240.961,164.11
241.472,155.403
241.984,157.745
242.497,154.638
243.009,154.631
243.52,152.174
244.032,151.917
244.545,147.159
245.055,148.802
245.567,145.495
246.08,144.038
246.59,131.031
247.102,136.674
247.615,137.616
248.125,129.609
248.637,134.652
249.149,132.045
249.659,133.188
250.172,135.031
250.684,132.224
251.194,126.017
251.706,129.309
252.218,126.652
252.728,122.995
253.24,121.738
253.75,123.031
254.262,118.824
254.773,116.567
255.283,115.91
255.795,116.803
256.305,115.296
256.817,109.889
257.326,113.382
257.838,106.575
258.348,110.668
258.859,110.861
259.371,104.704
259.88,106.747
260.392,99.3396
260.902,104.183
261.413,101.226
261.922,99.6188
262.434,98.9117
262.943,95.4548
263.455,96.8977
263.964,96.1409
264.475,99.6837
264.985,90.4269
265.496,89.2699
266.005,92.4131
266.516,92.056
267.026,87.0491
267.535,92.2424
268.046,87.4353
268.555,87.3285
269.066,88.8214
269.575,83.2146
270.086,80.9576
270.595,85.0008
271.106,79.6437
271.615,77.437
272.124,74.1303
272.635,78.6232
273.143,75.6164
273.654,71.9594
274.163,75.7026
274.672,73.0959
275.183,74.4889
275.691,74.2822
276.2,70.5754
276.711,70.7684
277.219,67.0117
277.728,69.155
278.238,69.798
278.747,69.5413
279.255,64.9346
279.766,66.4276
280.274,66.1209
280.783,64.3143
281.293,64.9572
281.801,59.6506
282.31,71.4439
282.82,61.3369
283.328,61.3302
283.836,65.9736
284.345,61.267
284.855,56.21
285.363,58.1033
285.871,57.4467
286.379,58.2401
286.889,52.4331
287.397,55.0265
287.905,58.5199
288.413,58.0132
288.923,54.6563
289.431,51.4497
289.939,51.9431
290.447,53.0365
290.955,51.4799
291.465,51.173
291.972,52.8163
292.48,45.0598
292.988,50.4531
293.495,47.7965
294.005,52.3397
294.513,47.8831
295.02,50.6765
295.528,43.62
296.035,45.5634
296.543,46.0568
297.051,45.5502
297.56,42.0934
298.067,42.7369
298.575,42.3303
299.082,43.0737
299.59,42.5172
300.097,38.4607
300.604,40.9041
301.111,39.7976
301.619,44.1411
302.126,37.0346
302.635,39.5778
303.142,33.6212
303.649,38.3148
304.157,38.7582
304.664,36.8517
305.171,34.4952
305.678,34.9887
306.185,34.0822
306.692,36.1757
307.199,30.9193
307.705,30.1628
308.212,35.5564
308.719,29.8498
309.226,30.6934
309.733,30.7869
310.24,38.4304
310.746,29.574
311.253,29.0176
311.76,31.4611
312.266,31.5546
312.773,26.3982
313.279,26.6918
313.786,31.6854
314.293,22.7289
314.799,28.6725
315.306,27.6661
315.812,30.6597
316.316,26.0535
316.823,27.4971
317.329,33.2907
317.836,27.0344
318.342,26.2779
318.848,26.5215
319.354,25.5152
319.861,23.5088
320.367,30.3524
320.873,29.146
321.377,26.5899
321.883,26.9336
322.389,26.7772
322.895,21.3208
323.401,24.5645
323.907,23.8081
324.413,26.2018
324.917,24.7957
325.423,24.5394
325.929,21.7831
326.435,23.0767
326.941,22.5618
327.445,21.2937
327.95,23.8752
328.456,28.1568
328.962,22.5882
329.468,28.2197
329.971,22.9516
330.477,21.8831
330.982,22.4647
331.488,24.8462
331.991,22.9781
332.497,23.5096
333.003,24.1411
333.508,29.1227
334.011,17.9046
334.517,24.6361
335.022,25.9677
335.528,16.9993
