Raman_Shift,Intensity
cm^-^1,a.u.
50.3749,127.125
50.9003,129.862
51.4278,134.473
51.9552,134.585
52.4805,130.572
53.0079,137.559
53.5353,137.962
54.0605,140.074
54.5878,142.269
55.115,146.922
55.6402,149.409
56.1674,155.812
56.6924,161.424
57.2196,170.119
57.7467,177.022
58.2717,192.426
58.7987,205.912
59.3236,218.524
59.8506,229.302
60.3776,229.831
60.9024,235.442
61.4294,236.179
61.9541,240.874
62.481,251.902
63.0057,259.431
63.5325,262.668
64.0571,271.029
64.5838,277.183
65.1084,282.419
65.6351,292.448
66.1596,301.851
66.6862,317.379
67.2107,317.574
67.7373,321.853
68.2617,324.256
68.7882,333.826
69.3125,329.688
69.839,344.3
70.3632,350.495
70.8896,361.731
71.4138,363.426
71.9402,360.58
72.4643,354.733
72.9906,352.595
73.5147,351.957
74.0409,366.277
74.565,376.472
75.089,375.542
75.6151,366.362
76.1391,355.64
76.6651,351.335
77.189,346.78
77.715,342.684
78.2389,342.962
78.7627,343.032
79.2886,339.519
79.8123,341.63
80.3361,342.909
80.8619,344.479
81.3856,343.507
81.9113,354.577
82.4349,365.105
82.9585,363.509
83.4842,351.412
84.0077,340.441
84.5312,336.094
85.0568,335.122
85.5802,331.776
86.1036,334.929
86.6291,337.291
87.1525,333.028
87.6758,332.306
88.199,336.959
88.7244,335.904
89.2477,339.599
89.7709,340.336
90.2962,353.739
90.8193,353.893
91.3424,351.588
91.8655,351.241
92.3906,343.978
92.9137,349.465
93.4367,354.576
93.9596,355.855
94.4847,360.133
95.0076,359.328
95.5304,357.565
96.0533,358.01
96.5782,355.538
97.101,359.9
97.6238,367.678
98.1465,366.748
98.6692,370.902
99.194,376.388
99.7166,373.208
100.239,369.445
100.762,372.807
101.284,374.002
101.807,378.78
102.332,370.642
102.854,377.045
103.376,379.115
103.899,378.352
104.421,382.88
104.944,388.284
105.466,392.437
105.99,393.924
106.513,399.244
107.035,395.647
107.557,386.634
108.079,388.287
108.601,389.899
109.123,387.386
109.645,387.956
110.167,387.401
110.69,387.346
111.212,398.749
111.736,397.319
112.258,400.723
112.779,410.459
113.301,411.029
113.823,408.849
114.345,412.169
114.867,419.573
115.389,425.226
115.91,425.546
116.432,428.824
116.954,438.395
117.475,433.548
117.997,436.451
118.519,438.813
119.04,445.383
119.562,445.953
120.083,443.106
120.605,447.593
121.126,457.246
121.647,461.733
122.169,472.47
122.69,472.748
123.211,479.443
123.733,475.805
124.254,477.083
124.773,484.862
125.294,485.64
